genome_ID	OTU	NCBI_ID	novelty_category
MAG0001.0	1	2	known_strain
MAG0002.0	2	2	known_strain
MAG0003.0	3	2	known_strain
MAG0004.0	4	2	known_strain
MAG0005.0	5	2	known_strain
MAG0006.0	6	2	known_strain
MAG0007.0	7	2	known_strain
MAG0008.0	8	2	known_strain
MAG0009.0	9	2	known_strain
MAG0010.0	10	2	known_strain
MAG0011.0	11	2	known_strain
MAG0012.0	12	2	known_strain
MAG0013.0	13	2	known_strain
MAG0014.0	14	2	known_strain
MAG0015.0	15	2	known_strain
MAG0016.0	16	2	known_strain
MAG0017.0	17	2	known_strain
MAG0018.0	18	2	known_strain
MAG0019.0	19	2	known_strain
MAG0020.0	20	2	known_strain
MAG0021.0	21	2	known_strain
MAG0022.0	22	2	known_strain
MAG0023.0	23	2	known_strain
MAG0024.0	24	2	known_strain
MAG0025.0	25	2	known_strain
MAG0026.0	26	2	known_strain
MAG0027.0	27	2	known_strain
MAG0028.0	28	2	known_strain
MAG0029.0	29	2	known_strain
MAG0030.0	30	2	known_strain
MAG0031.0	31	2	known_strain
MAG0032.0	32	2	known_strain
MAG0033.0	33	2	known_strain
MAG0034.0	34	2	known_strain
MAG0035.0	35	2	known_strain
MAG0036.0	36	2	known_strain
MAG0037.0	37	2	known_strain
MAG0038.0	38	2	known_strain
MAG0039.0	39	2	known_strain
MAG0040.0	40	2	known_strain
MAG0041.0	41	2	known_strain
MAG0042.0	42	2	known_strain
MAG0043.0	43	2	known_strain
MAG0044.0	44	2	known_strain
MAG0045.0	45	2	known_strain
MAG0046.0	46	2	known_strain
MAG0047.0	47	2	known_strain
MAG0048.0	48	2	known_strain
MAG0049.0	49	2	known_strain
MAG0050.0	50	2	known_strain
MAG0051.0	51	2	known_strain
MAG0052.0	52	2	known_strain
MAG0053.0	53	2	known_strain
MAG0054.0	54	2	known_strain
MAG0055.0	55	2	known_strain
MAG0056.0	56	2	known_strain
MAG0057.0	57	2	known_strain
MAG0058.0	58	2	known_strain
MAG0059.0	59	2	known_strain
MAG0060.0	60	2	known_strain
MAG0061.0	61	2	known_strain
MAG0062.0	62	2	known_strain
MAG0063.0	63	2	known_strain
MAG0064.0	64	2	known_strain
MAG0065.0	65	2	known_strain
MAG0066.0	66	2	known_strain
MAG0067.0	67	2	known_strain
MAG0068.0	68	2	known_strain
MAG0069.0	69	2	known_strain
MAG0070.0	70	2	known_strain
MAG0071.0	71	2	known_strain
MAG0072.0	72	2	known_strain
MAG0073.0	73	2	known_strain
MAG0074.0	74	2	known_strain
MAG0075.0	75	2	known_strain
MAG0076.0	76	2	known_strain
MAG0077.0	77	2	known_strain
MAG0078.0	78	2	known_strain
MAG0079.0	79	2	known_strain
MAG0080.0	80	2	known_strain
MAG0081.0	81	2	known_strain
MAG0082.0	82	2	known_strain
MAG0083.0	83	2	known_strain
MAG0084.0	84	2	known_strain
MAG0085.0	85	2	known_strain
MAG0086.0	86	2	known_strain
MAG0087.0	87	2	known_strain
MAG0088.0	88	2	known_strain
MAG0089.0	89	2	known_strain
