#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
UNCLASSIFIED	9.68148	0.0	0.0	9.21863	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	90.25517248008605	99.8724	99.69891	90.72831481343168	99.87101	99.32239	99.77594	99.49797	56.28429	99.73107
k__Archaea	0.0633494112545863	0.1276	0.30109	0.0530526311346045	0.12899	0.67761	0.22406	0.50203	43.71571	0.26893
k__Bacteria|p__Firmicutes	57.37018059574454	50.98218	36.5134	62.074919181809264	59.18278	56.05516	51.64056	76.84451	32.44673	61.27872
k__Bacteria|p__Bacteroidetes	12.657951174175418	40.3664	9.64257	10.784953546328898	13.49667	24.72652	27.1223	2.5591	2.95768	16.02752
k__Bacteria|p__Proteobacteria	11.48246464361181	2.01314	15.1678	1.80302689509002	10.69565	4.27789	3.06425	7.19059	1.0439	11.75027
k__Bacteria|p__Actinobacteria	5.178584057831609	5.82676	22.25679	13.046163081048388	9.77096	12.54633	10.87752	5.92878	19.5667	3.86022
k__Bacteria|p__Candidatus_Melainabacteria	1.7527212358233564	0.31833	0.87898	0.048549875309354	4.22909	0.22577	1.43148	1.20498	0.05972	0.51665
k__Bacteria|p__Tenericutes	1.4705842371391864	0.05536	14.60145	1.1056444303808617	0.39781	0.99409	1.4453	0.42303	0.07833	0.01019
k__Bacteria|p__Elusimicrobia	0.2293638863430595	0.0	0.0	0.1003043328895012	0.25546	0.0	0.22013	0.0	0.0	0.02037
k__Archaea|p__Candidatus_Thermoplasmatota	0.0633494112545863	0.1276	0.06099	0.0530526311346045	0.04384	0.67761	0.1687	0.0	0.17809	0.04637
k__Bacteria|p__Spirochaetes	0.0626629904882121	0.0	0.0	0.0	0.294	0.0	0.0	5.13884	0.0	0.22728
k__Bacteria|p__Verrucomicrobia	0.0351971279810554	0.07354	0.01355	0.0	0.34329	0.04749	0.26269	0.02408	0.08405	4.2933
k__Bacteria|p__Fusobacteria	0.0113078789407958	0.07067	0.41208	0.0255004861151786	0.09349	0.18423	2.35722	0.10089	0.01453	0.20372
k__Bacteria|p__Bacteria_unclassified	0.0041456201548125	0.16522	0.0	0.0115292336654599	1.09608	0.15968	1.24231	0.08121	0.03265	0.39212
k__Bacteria|p__Firmicutes|c__Clostridia	17.582369879552605	17.88121	15.3953	30.048904968253773	32.1631	17.03362	29.40993	22.31543	13.34864	28.74827
