#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
UNCLASSIFIED	0.0	5.93582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12769	3.73954	0.0	0.0	0.0	0.0	9.31904	0.0	0.0	0.0	0.96069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77339	24.3267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27704	0.0	0.14659	0.0	0.0	0.0	0.0	4.96463	0.0	0.0	0.0	16.671	0.0	0.0	0.0	16.58968	2.34498	0.0	14.78575	0.0189	4.44166	0.0	0.0	0.0	21.44882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.95761	0.0	0.0	0.0	3.5743	6.34408	0.0	0.0	0.0	0.34327	0.0	0.0	0.0	0.0	0.0
k__Bacteria	99.89847	94.0641752435854	98.18969	99.20005	99.87008	99.76975	98.2391	99.85847	93.25683	99.46211	98.25379	98.85779178219072	95.39901107332408	99.27499	99.87871	95.78554	99.90835	90.61846679521138	99.783	99.51201	99.47741	98.28914952405776	99.95193	99.86321	99.83586	98.81188	99.82506	99.498	99.99937	98.07439089670726	75.02424554072859	99.9629	99.55645	98.40515	99.55615	100.0	99.15718	99.07908	99.74831	98.98811	91.33617	100.0	99.94958	98.67587435639844	99.89193	99.80362885517349	99.91117	99.85833	99.90493	99.93673	95.03537498686627	99.89264	99.95284	99.98195	83.32899751942716	100.0	94.89365	97.12894	83.35438213451633	96.98789361763052	100.0	84.8911064244953	99.98109735752082	94.65359446408904	99.6125	99.90199	99.62682	78.5443263467273	99.93729	99.92691	99.91397	99.10676	99.93874	99.95739	99.92498	99.93338	99.96377	97.27969	99.78818	99.70008	99.07193	99.80412	99.94302	100.0	99.86586	86.5062776792862	99.99281	99.58982	99.96468	96.34522030193824	92.80305258194215	99.54623	99.68439	100.0	99.52701153541295	96.22659	99.97985	99.99554	99.20962	99.73082
k__Archaea	0.10153	0.0	1.81031	0.79995	0.12992	0.23025	1.7609	0.14153	6.74317	0.53789	1.74621	0.0145144545555543	0.8614444424562699	0.72501	0.12129	4.21446	0.09165	0.0624882461189807	0.217	0.48799	0.52259	0.7501633715968462	0.04807	0.13679	0.16414	1.18812	0.17494	0.502	0.00063	0.1522217816676776	0.6490498546057828	0.0371	0.44355	1.59485	0.44385	0.0	0.84282	0.92092	0.25169	1.01189	8.66383	0.0	0.05042	0.0470809773986878	0.10807	0.0497769227803099	0.08883	0.14167	0.09507	0.06327	0.0	0.10736	0.04716	0.01805	0.0	0.0	5.10635	2.87106	0.0559349586426724	0.667130295865045	0.0	0.3231409474591886	0.0	0.9047463710268776	0.3875	0.09801	0.37318	0.0068496625480088	0.06271	0.07309	0.08603	0.89324	0.06126	0.04261	0.07502	0.06662	0.03623	2.72031	0.21182	0.29992	0.92807	0.19588	0.05698	0.0	0.13414	0.536111483330388	0.00719	0.41018	0.03532	0.0804768868737825	0.8528682777163946	0.45377	0.31561	0.0	0.1297231715680772	3.77341	0.02015	0.00446	0.79038	0.26918
k__Bacteria|p__Firmicutes	71.05009	59.94581960995367	54.05019	67.75512	66.89545	52.21959	65.24001	70.13597	60.43547	69.62074	74.71388	52.58406937879991	55.18853528463032	53.14731	62.67164	61.29048	57.97441	49.01098867406412	49.72026	71.53553	72.73315	56.76775942671417	63.91362	82.15147	62.60608	73.686	51.02501	63.88044	73.14466	72.97922014576561	16.884157562641146	64.70403	51.9323	33.17764	50.68151	74.21022	71.03427	73.57451	60.75203	73.03198	63.90243	55.3657	76.65982	64.74345197597984	66.05498	56.24325958770044	69.73477	40.17849	63.74158	65.96066	61.57482597754047	81.71985	65.75732	49.00047	77.62937741809586	73.00266	65.33963	41.04151	55.47887102880704	59.90574200705451	62.86178	67.65960964927237	48.14794704500998	76.22413640395592	64.57925	55.78096	64.77011	53.97285080602991	58.38372	69.59539	62.10985	73.38504	68.86661	67.05774	72.65755	51.94658	58.70923	84.17329	82.05589	54.44445	64.43771	70.53964	79.3948	71.41748	62.67436	76.7115281904007	28.39706	62.07798	70.66728	38.926292192115625	47.60831092802404	57.00531	33.01445	81.7412	66.57836238716229	57.91782	65.97922	62.69153	57.53376	70.11995
k__Bacteria|p__Actinobacteria	15.45022	8.650179181070213	6.16554	9.44875	16.9255	7.24979	8.25475	10.35672	19.34483	11.23673	7.0833	8.224979523991825	23.58272385821886	7.25688	18.89194	12.98357	9.79966	18.3234109080444	31.17535	14.03175	6.21534	24.02258948264969	15.74385	6.50707	13.56116	7.02339	5.83788	12.04472	4.25212	8.76202012679767	33.400739660229	3.58223	27.93307	11.65913	10.78765	7.89867	10.49487	10.62474	16.68165	12.59812	9.67774	23.07569	7.20048	14.677852574754024	14.33301	9.228591556766576	13.10036	25.53296	9.08285	13.52085	2.8117926326614158	4.60926	14.10654	4.92573	0.9665830396263474	9.83811	7.33502	6.9071	5.499517459998381	11.302865901814936	7.4207	5.685758748823657	21.881163099985503	4.809413070895051	11.00436	12.67362	13.76145	4.968401158174668	12.10435	11.18912	11.74732	9.95657	5.60615	12.22544	18.81367	25.28688	18.90527	3.15269	5.22469	9.64201	4.96796	10.36772	3.13189	14.03233	7.70786	2.660320061171632	10.01663	17.89585	5.21899	14.441879161932476	28.55669238846309	6.19075	8.86716	2.91562	7.818888022987259	4.87849	6.22627	17.87336	3.84419	6.03727
k__Bacteria|p__Bacteroidetes	7.10073	18.047557138187845	14.7849	15.77534	11.5584	22.04575	9.92996	10.32917	6.52842	9.25793	5.53553	32.98715313175999	9.480307221927143	9.2231	12.84602	10.70284	13.71341	19.98168446478971	13.39302	9.23004	11.74413	11.71928227921765	10.87598	4.42883	15.38822	14.03838	26.67587	11.83165	13.49567	11.380839847415825	8.78581337465957	20.23739	12.97521	40.88623	30.06601	12.6408	9.46511	6.6105	12.0834	7.92404	9.2719	14.95971	12.10449	8.015652401599123	13.4207	16.00209741101119	12.22133	22.39593	9.08334	5.65823	3.7411625717329775	6.90254	10.57291	7.19241	2.046635175174899	13.79678	12.68648	39.23954	8.817471440552024	13.913712028151808	9.84629	5.441832965721437	10.99441137281004	7.117357230412938	14.18334	11.13448	7.88304	14.412993950532284	15.73045	10.88977	16.21352	4.06063	9.30349	12.38718	6.02805	10.4295	10.58896	6.28475	7.46102	10.83602	17.02704	12.48405	10.90387	4.4678	12.84324	4.679720898222169	55.68387	9.31167	11.27333	6.113022784121365	9.935984740777434	18.22059	33.15384	7.62433	15.378638638715955	30.64645	21.49679	11.38993	30.69634	17.7266
k__Bacteria|p__Proteobacteria	3.21927	3.0272955711168823	11.27871	5.02087	1.61771	10.71284	12.46649	5.59823	2.68114	4.71991	6.11441	4.411741627667361	5.884671174955097	28.56488	4.12217	7.47531	5.05215	1.798067317037019	2.2494	2.4288	7.53898	2.4961472264969204	4.49237	3.02771	4.95892	2.37516	9.9059	8.58407	8.63371	3.432028024321153	13.767802613659104	10.73341	2.56605	11.14961	3.77311	4.05226	5.4995	3.7805	4.16778	4.3782	6.70266	4.2515	2.32669	4.236241502555369	4.40656	11.94284677398523	3.35995	6.97129	3.35118	13.66944	25.003607584757045	4.10161	5.5972	15.07027	2.1560294831184024	2.26498	4.82333	6.43593	8.462935887747552	8.060963245446667	8.15995	2.7899996732051617	11.98631384158427	3.4891790339170887	6.10706	19.31706	9.77204	3.89803141340188	5.53421	5.55336	3.87809	8.27728	10.02341	7.26139	1.06583	5.66127	7.06902	1.63135	3.18929	10.38605	2.16098	3.13744	4.88873	3.15495	15.90094	0.9194809821582164	2.52504	8.95059	10.62894	4.28763612348856	2.726764039052701	4.88576	14.07009	4.73085	4.381069508494417	2.28629	5.51509	5.2977	2.32417	3.82291
k__Bacteria|p__Bacteria_unclassified	1.17162	0.0113911716219981	0.38733	0.00586	0.40544	0.17493	0.03095	1.01616	0.04051	0.01689	0.0	0.0	0.0963085857435382	0.10627	0.02401	0.03993	0.00687	0.0149260851998029	0.90661	0.0	0.04493	0.2506288852137435	2.81698	0.05422	0.06766	0.25029	0.22316	0.23324	0.02318	0.2800833633911183	0.4314891303441965	0.07399	0.0	0.09633	0.55347	0.00266	0.11244	0.03515	0.0	0.23655	0.10149	0.9909	0.13104	0.1965277871829899	0.14264	0.0248435273575549	0.23163	1.0341	4.29965	0.02449	0.0	0.10658	0.0	0.05891	0.0628383970294	0.00964	0.40021	0.93152	0.0775215487063819	0.0353511186566854	0.18945	0.0049168620733617	0.026494990799743	0.0	0.27542	0.02774	0.0	0.0	0.16791	0.02271	0.0	0.0	0.02589	0.43008	0.00528	0.17267	0.06213	0.15782	0.42152	0.04529	0.04227	0.0	0.0	4.44002	0.23972	0.0	0.0	0.0	0.60432	0.0497845874585836	0.1346397518278451	0.02147	0.06116	0.01301	0.024525522411388	0.0	0.14077	0.2234	0.98567	0.0
k__Bacteria|p__Lentisphaerae	0.95941	0.0552627029556064	0.0	0.0	0.0	0.69084	0.0	0.20563	0.0	3.11765	0.07579	0.0	0.0621072458987814	0.0	0.0	0.0	0.05697	0.0488135580987481	0.02952	0.0	0.0	0.1846389910313688	0.00114	0.13228	0.0	0.00496	0.16085	0.0	0.06242	0.0533566960068932	0.1189962570091632	0.0	0.1947	0.0	0.0	0.0	0.16621	1.46067	0.14079	0.0	0.04673	0.26924	0.03795	0.0662431030289778	0.42367	0.0	0.0	0.09991	0.0	0.0	0.0569261896171328	0.0	0.06254	0.0	0.0118827150462703	0.0	0.0	0.01455	0.0032279792715052	0.0	0.11249	0.1022144897226594	0.0	0.2779123226507676	0.05238	0.0	0.63389	0.0	0.2371	0.19498	0.01786	0.27449	0.00055	0.0	0.08921	0.04971	0.02587	0.0	0.0	0.65946	0.25016	0.0	0.27186	0.061	0.01168	0.0113329190689726	0.39269	0.0	0.0	0.0	0.0	0.08978	0.0	0.23794	0.0	0.05335	0.00449	0.0	0.17194	0.12399
k__Bacteria|p__Candidatus_Melainabacteria	0.39454	1.947504684243192	6.64869	0.46304	1.81669	4.47102	0.23923	0.28889	2.82817	0.28021	3.29578	0.5176360720718615	0.5702758166121376	0.57038	0.05284	1.46276	0.22739	0.0444518041612601	0.81806	1.69405	0.01158	0.3262751124034445	0.09565	3.33233	0.20094	0.44582	0.55622	0.95703	0.08952	0.3903623814451298	1.59646437829629	0.27601	0.95596	0.7079	0.62412	0.23062	1.28283	0.0697	0.75262	0.24538	0.71953	0.18361	0.96927	0.6922749796871857	0.48472	2.035301984631454	0.13177	0.31604	1.18345	0.01932	0.0168497719851713	1.67234	2.0015	0.05622	0.0698546986205358	0.60767	2.18998	1.03959	0.0735261945176196	0.7526760968132672	10.22312	2.025798302773474	0.1919737050361757	0.0398287164600763	1.79762	0.28543	1.45419	0.1932437481004182	2.52025	1.40945	0.19087	2.78408	5.00615	0.15187	0.19715	1.44438	0.34039	0.06607	0.53756	0.8987	4.16973	0.15104	0.84628	0.35152	0.21967	0.0117507225369532	0.91455	0.53075	0.25354	0.062175289547346	1.556036931530711	12.4859	0.05112	0.65547	0.9440183508588192	0.17642	0.26098	0.48824	1.33584	1.49167
