#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
UNCLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria	99.63159	99.46390000000002	99.58273000000004	99.61964	98.98308	99.99997	98.28526	99.16384999999998	99.8525	99.44973
d__Archaea	0.31497	0.53615	0.41723	0.3803999999999999	1.01693	0.0	0.06256	0.65184	0.14764	0.33869
d__Bacteria;p__Actinobacteriota	14.02017	21.88718	22.26109	6.94598	8.299719999999999	4.05839	9.39006	8.92598	8.908710000000001	6.56802
d__Bacteria;p__Firmicutes_A	58.49744000000001	48.79624	32.89226000000001	34.94014999999999	33.6694	42.09723	43.87331999999999	52.40494	53.72394	59.903000000000006
d__Bacteria;p__Firmicutes	11.35931	8.913570000000002	15.309470000000005	16.18726	14.65358	6.94091	15.43892	17.830299999999994	8.35148	10.82853
d__Bacteria;p__Proteobacteria	2.95046	0.88218	1.2279	8.719560000000001	2.5753700000000004	1.48496	2.22839	2.46679	0.8062600000000001	2.08359
d__Bacteria;p__Bacteroidota	9.36295	13.90375	20.1188	23.72853	28.528070000000003	43.12380000000001	14.65237	7.33794	22.70472	11.99354
d__Bacteria;p__Verrucomicrobiota	1.43751	1.3672300000000002	0.62102	0.85608	0.72394	0.5327600000000001	2.74252	3.72908	1.22805	0.97805
d__Bacteria;p__Cyanobacteria	0.7528600000000001	0.54791	0.6072200000000001	4.77233	5.529250000000001	0.06947	3.97511	3.3348400000000007	0.98563	3.45981
d__Bacteria;p__Firmicutes_C	0.8938800000000001	2.19989	2.24003	2.42384	4.03977	0.61483	3.12449	1.08885	2.37353	2.77786
d__Bacteria;p__Desulfobacterota_I	0.2024	0.4231299999999999	2.30077	0.4523699999999999	0.03339	0.32323	0.09559	0.48278	0.06352	0.47448
d__Archaea;p__Thermoplasmatota	0.21945	0.53615	0.06876	0.2123699999999999	0.13002	0.0	0.03221	0.44708	0.06387	0.0
d__Bacteria;p__Fusobacteriota	0.07978	0.0	0.4388999999999999	0.21242	0.04929	0.24412	0.2238899999999999	0.42005	0.42727	0.36773
d__Archaea;p__Methanobacteriota	0.09552	0.0	0.34847	0.1680299999999999	0.8869100000000001	0.0	0.03035	0.20476	0.08377	0.33869
d__Bacteria;p__Firmicutes_B	0.05689	0.10158	1.32009	0.0975	0.62944	0.06853	0.36332	0.60912	0.06447	0.0
d__Bacteria;p__Spirochaetota	0.01543	0.06062	0.0	0.0591	0.0	0.0	0.0	0.53226	0.00282	0.0
d__Bacteria;p__Campylobacterota	0.00251	0.13418	0.0	0.0	0.18726	0.05474	0.22766	0.00092	0.00092	0.0
