#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
UNCLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.27234	0.0	0.0	0.0	0.0
d__Bacteria	100.00002	99.61609	100.00002	99.99998	99.18729	99.7276870085448	100.00003	99.93766	100.0	100.0
d__Bacteria;p__Firmicutes_A	59.90125	43.32538	25.4736	26.43886	23.27987	34.131311946383235	43.36795	53.23564	55.31951	68.67023
d__Bacteria;p__Actinobacteriota	19.64346	32.98003	33.07649	7.64607	8.45967	3.233419962008555	10.28917	11.1539	9.12023	7.348960000000001
d__Bacteria;p__Firmicutes	11.79975	5.453430000000001	15.85111	13.92138	14.849609999999998	1.588362394476375	18.81469	22.14337	5.27375	8.01138
d__Bacteria;p__Bacteroidota	5.68074	14.71103	20.5712	30.67886	37.9862	59.502526548427696	13.40262	1.64798	26.762659999999997	8.34726
d__Bacteria;p__Proteobacteria	1.47341	0.0	0.0	11.93498	0.24099	1.2720661572489451	0.0	0.38012	0.30004	0.81619
d__Bacteria;p__Verrucomicrobiota	1.12458	1.18609	0.47577	0.60242	0.21614	0.0	2.82261	6.12169	1.0995	0.6148
d__Bacteria;p__Cyanobacteria	0.29952	0.0	0.0	6.62067	8.65164	0.0	6.07849	4.1243300000000005	0.54672	4.0953
d__Bacteria;p__Firmicutes_C	0.07731	1.96013	1.09445	2.05738	4.79938	0.0	2.55901	0.08186	1.28119	1.96104
d__Bacteria;p__Firmicutes_A;c__Clostridia	59.90125	43.32538	25.4736	26.43886	23.27987	34.131311946383235	43.36795	53.23564	55.31951	68.67023
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	15.119879999999998	31.73626	33.07649	7.35732	8.45967	1.9650537008376583	9.69823	10.93066	8.799240000000001	7.176620000000001
d__Bacteria;p__Firmicutes;c__Bacilli	11.79975	5.453430000000001	15.85111	13.92138	14.849609999999998	1.588362394476375	18.81469	22.14337	5.27375	8.01138
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	4.52358	1.24377	0.0	0.28875	0.0	1.268366261170897	0.59094	0.22324	0.32099	0.17234
d__Bacteria;p__Bacteroidota;c__Bacteroidia	5.68074	14.71103	20.5712	30.67886	37.9862	59.502526548427696	13.40262	1.64798	26.762659999999997	8.34726
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1.47341	0.0	0.0	0.09039	0.24099	0.0	0.0	0.38012	0.30004	0.81619
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	1.12458	0.0	0.0	0.0	0.0	0.0	0.0	6.12169	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia	0.29952	0.0	0.0	6.62067	8.65164	0.0	6.07849	4.1243300000000005	0.54672	4.0953
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.07731	1.96013	1.09445	2.05738	4.79938	0.0	2.55901	0.08186	1.28119	1.96104
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	28.152279999999998	0.7537799999999999	4.49677	3.2031400000000003	7.20223	3.9150186071575614	2.78987	2.96199	4.12328	3.76512
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	15.119879999999998	31.73626	33.07649	7.35732	8.45967	1.9650537008376583	9.69823	10.93066	8.799240000000001	7.176620000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	9.67104	2.2162	11.71474	3.29161	7.526679999999999	0.9579639284775012	1.00961	3.14027	4.06746	5.411690000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	7.13352	0.0	0.0	1.4145	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	16.12255	34.37668	10.67485	10.15432	8.37899	18.423707316383773	19.484440000000003	14.230559999999995	42.29242	6.243449999999999
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	4.52358	1.24377	0.0	0.28875	0.0	1.268366261170897	0.54198	0.22324	0.32099	0.17234
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	7.385940000000001	4.47314	6.35979	6.199479999999999	3.92011	3.389224480680649	13.393949999999998	32.669090000000004	4.41478	33.76412
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	2.12871	3.2372300000000003	0.97604	3.10363	5.66979	0.6303984659988737	2.95183	0.92307	0.0	1.26603
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	5.68074	14.71103	20.5712	30.67886	37.9862	59.502526548427696	13.40262	1.64798	26.762659999999997	8.34726
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	1.47341	0.0	0.0	0.0	0.07169	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales	1.12458	0.0	0.0	0.0	0.0	0.0	0.0	6.12169	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	0.97303	2.31275	3.42168	3.99902	1.49988	5.914318785440011	5.497529999999999	2.8164099999999994	2.02444	22.42009
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales	0.29952	0.0	0.0	6.62067	8.65164	0.0	6.07849	4.1243300000000005	0.54672	4.0953
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.11363	1.40903	0.20202	0.0	0.0	0.0	2.20216	0.55759	1.85053	1.96701
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.07731	0.13418	1.09445	1.67024	0.55022	0.0	0.1397	0.0	0.74556	0.54035
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.0203	0.0	0.0	0.0	2.27866	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508	22.927039999999995	0.7537799999999999	4.49677	3.2031400000000003	4.99953	3.9150186071575614	2.78987	1.30695	3.03392	3.76512
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	12.46071	7.87382	19.27581	4.08776	4.13401	1.9650537008376583	8.83875	9.45026	7.86397	6.5179
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660	9.67104	2.2162	11.71474	3.29161	7.526679999999999	0.9579639284775012	1.00961	3.14027	4.06746	5.411690000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae	7.13352	0.0	0.0	1.4145	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272	6.16314	0.0	1.88005	0.0	0.0	0.0	7.38497	0.10634	0.0	0.77603
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-465	5.22524	0.0	0.0	0.0	0.3083	0.0	0.0	1.65504	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	4.52358	0.84604	0.0	0.28875	0.0	1.268366261170897	0.33076	0.0	0.32099	0.0
