#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
UNCLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.27234	0.0	0.0	0.0	0.0
k__Bacteria	100.0	99.61612	100.0	100.0	99.18725	99.72765709024767	100.0	99.93769	100.0	100.0
k__Bacteria|p__Firmicutes	68.01388	50.80593	42.07607	48.22194	37.98759	33.99810571480779	64.87281	72.15579	60.63646	74.60583
k__Bacteria|p__Actinobacteria	21.1083	37.12108	33.70717	8.51795	9.02941	4.708052936339212	10.55164	12.42686	9.75094	7.12367
k__Bacteria|p__Bacteroidetes	5.71813	10.39142	21.28867	17.77686	38.35738	59.50251657566199	12.25572	1.25151	26.96101	8.34725
k__Bacteria|p__Proteobacteria	2.15155	1.18609	2.53713	13.22066	3.52545	1.5074134552162208	0.91402	3.44893	1.45952	2.07417
k__Bacteria|p__Bacteria_unclassified	1.58405	0.0	0.0	0.0	0.0	0.0	0.0	1.11531	0.0	0.22529
k__Bacteria|p__Lentisphaerae	1.12458	0.0	0.0	0.0	0.0	0.0	0.0	6.12169	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.29952	0.0	0.0	6.62067	8.65164	0.0	6.07849	2.09063	0.0	4.0953
k__Bacteria|p__Firmicutes|c__Bacilli	22.57176	29.27141	5.45025	5.9551	19.38879	15.945016290468503	6.02003	3.43748	3.61571	3.08298
k__Bacteria|p__Firmicutes|c__Clostridia	16.65952	13.28571	12.35566	28.9656	7.93742	7.824392628923817	28.34644	43.65335	43.74301	38.61166
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	15.22535	13.22326	29.72495	8.06182	9.0051	2.171858943345705	9.30912	10.75952	8.97885	6.86918
k__Bacteria|p__Firmicutes|c__CFGB10312	8.05997	0.0	0.11842	0.0	0.0	0.0	0.0	0.0	0.0	0.9553
k__Bacteria|p__Firmicutes|c__Tissierellia	7.46348	0.40209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5.88295	1.24378	0.63069	0.28875	0.02432	2.536193992993507	0.85341	1.66733	0.43295	0.17234
k__Bacteria|p__Firmicutes|c__CFGB72899	5.22524	0.0	0.0	0.0	0.3083	0.0	0.0	1.65504	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3.51838	6.04925	20.1547	17.77686	23.33139	58.43810334600636	11.28607	1.1126	2.56074	6.55827
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2.73562	0.0	0.0	2.57609	0.0	0.0	0.0	0.0	0.0	0.60596
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.13494	0.0	0.0	0.86389	0.07169	0.0	0.0	0.0	0.0	1.24911
k__Bacteria|p__Bacteroidetes|c__CFGB653	1.58994	0.0	0.0	0.0	12.28144	0.0	0.0	0.0	0.20225	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	1.58405	0.0	0.0	0.0	0.0	0.0	0.0	1.11531	0.0	0.22529
k__Bacteria|p__Firmicutes|c__CFGB76360	1.46851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2844	1.15533	0.0	0.0	0.0	0.0	0.8659751375774567	0.0	0.18793	0.0	0.0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	1.12458	0.0	0.0	0.0	0.0	0.0	0.0	6.12169	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.96804	1.96013	1.09445	2.05738	4.85261	0.0	2.559	0.48636	4.60698	1.96105
k__Bacteria|p__Firmicutes|c__CFGB2932	0.43084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB11479	0.42255	0.69445	0.0	0.0	0.0	0.9922203786880012	0.0	0.0	0.0	0.12045
k__Bacteria|p__Firmicutes|c__CFGB76101	0.32815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB73217	0.29952	0.0	0.0	0.0	0.0	0.0	5.79042	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2833	0.17776	0.0	0.38728	0.05	0.0	0.0	0.0	0.0	0.0	14.01407
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.1626	0.0	3.16033	2.75338	0.23351	0.0	14.40509	18.3975	0.522	3.58688
k__Bacteria|p__Firmicutes|c__CFGB1359	0.15641	0.0	0.0	0.0	0.0	0.0	0.0	0.60612	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB13380	0.14256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10477	0.11714	0.0	0.23264	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1226	0.11363	1.16136	0.0	0.0	0.0	0.0	0.0	0.0	0.48153	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB35473	0.09871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.56292	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB74567	0.08855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0166	0.0	0.04707	0.41282	2.14787	0.2353472979672755	0.62547	3.05726	0.44121	0.81619
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	22.57176	29.27141	5.45025	5.9551	19.38879	12.67947405011118	6.02003	2.92135	2.96236	2.47876
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	15.12082	12.50367	19.2758	5.22755	8.18723	1.9650537008376583	9.30912	10.39443	8.49628	6.86918
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	11.31911	13.28571	11.07058	27.26063	6.26977	6.672947072925525	27.83952	43.36356	43.65743	38.17862
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312	8.05997	0.0	0.11842	0.0	0.0	0.0	0.0	0.0	0.0	0.9553
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	7.46348	0.40209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	5.34041	0.0	0.301	1.70497	1.0161	0.9924198340021816	0.50692	0.28979	0.08558	0.2954
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	5.22524	0.0	0.0	0.0	0.3083	0.0	0.0	1.65504	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	4.52358	0.84604	0.0	0.28875	0.0	1.268366261170897	0.33076	0.0	0.32099	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3.51838	6.04925	20.1547	17.77686	23.33139	58.43810334600636	11.28607	1.1126	2.56074	6.55827
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2.73562	0.0	0.0	2.57609	0.0	0.0	0.0	0.0	0.0	0.60596
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.13494	0.0	0.0	0.86389	0.07169	0.0	0.0	0.0	0.0	1.24911
k__Bacteria|p__Bacteroidetes|c__CFGB653|o__OFGB653	1.58994	0.0	0.0	0.0	12.28144	0.0	0.0	0.0	0.20225	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	1.58405	0.0	0.0	0.0	0.0	0.0	0.0	1.11531	0.0	0.22529
k__Bacteria|p__Firmicutes|c__CFGB76360|o__OFGB76360	1.46851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844	1.15533	0.0	0.0	0.0	0.0	0.8659751375774567	0.0	0.18793	0.0	0.0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	1.12458	0.0	0.0	0.0	0.0	0.0	0.0	6.12169	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.96804	0.13418	1.09445	1.67024	0.55022	0.0	0.1397	0.48636	0.74556	0.54035
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	0.43084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479	0.42255	0.69445	0.0	0.0	0.0	0.9922203786880012	0.0	0.0	0.0	0.12045
k__Bacteria|p__Firmicutes|c__CFGB76101|o__OFGB76101	0.32815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB73217|o__OFGB73217	0.29952	0.0	0.0	0.0	0.0	0.0	5.79042	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833	0.17776	0.0	0.38728	0.05	0.0	0.0	0.0	0.0	0.0	14.01407
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.1626	0.0	3.16033	2.75338	0.23351	0.0	14.40509	18.3975	0.522	3.58688
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	0.15641	0.0	0.0	0.0	0.0	0.0	0.0	0.60612	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB13380|o__OFGB13380	0.14256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
