#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
UNCLASSIFIED	0.0	2.36578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria	99.99998	97.63420734671872	100.00001999999998	100.0	100.00001	100.00002	100.00002	100.00003	100.00002	100.00002
d__Bacteria;p__Actinobacteriota	18.94391	19.235083091037858	18.58866	19.95885	19.51749	19.52754	19.15829	19.32549	19.19195	19.07116
d__Bacteria;p__Firmicutes_A	60.72303	57.60027296287675	59.49717999999999	59.2947	59.85681	59.4795	60.89799000000001	59.35981	59.46689	58.94631
d__Bacteria;p__Firmicutes	11.27347	11.662866114626697	12.01785	12.184540000000002	11.75019	11.01835	11.252119999999998	11.85122	11.949560000000002	12.41967
d__Bacteria;p__Bacteroidota	6.18928	6.391067508077817	6.81296	5.64717	5.71056	6.11797	5.823600000000001	6.59474	6.06406	6.03117
d__Bacteria;p__Proteobacteria	1.59768	1.5608391752529711	1.64603	1.56608	1.68581	1.75225	1.36935	1.51013	1.85954	1.9097
d__Bacteria;p__Verrucomicrobiota	0.87327	0.8656933128504823	1.16259	1.04958	1.06805	1.51201	1.05505	1.07883	1.01888	1.26919
d__Bacteria;p__Cyanobacteria	0.32778	0.1425850106676491	0.11373	0.25851	0.2608399999999999	0.22924	0.33503	0.14865	0.28737	0.22019
d__Bacteria;p__Firmicutes_C	0.07156	0.1758001713285189	0.16102	0.04057	0.15026	0.36316	0.10859	0.13116	0.16177	0.13263
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	14.52125	15.0665804280987	14.61066	15.92679	15.4379	15.12661	14.69418	14.80371	15.03376	14.7908
d__Bacteria;p__Firmicutes_A;c__Clostridia	60.72303	57.60027296287675	59.49717999999999	59.2947	59.85681	59.4795	60.89799000000001	59.35981	59.46689	58.94631
d__Bacteria;p__Firmicutes;c__Bacilli	11.27347	11.662866114626697	12.01785	12.184540000000002	11.75019	11.01835	11.252119999999998	11.85122	11.949560000000002	12.41967
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	4.42266	4.168502662939158	3.978	4.03206	4.07959	4.40093	4.46411	4.52178	4.15819	4.28036
d__Bacteria;p__Bacteroidota;c__Bacteroidia	6.18928	6.391067508077817	6.81296	5.64717	5.71056	6.11797	5.823600000000001	6.59474	6.06406	6.03117
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1.59768	1.5608391752529711	1.64603	1.56608	1.68581	1.75225	1.36935	1.51013	1.85954	1.9097
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.87327	0.8656933128504823	1.16259	1.04958	1.06805	1.51201	1.05505	1.07883	1.01888	1.26919
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia	0.32778	0.1425850106676491	0.11373	0.25851	0.2608399999999999	0.22924	0.33503	0.14865	0.28737	0.22019
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.07156	0.1758001713285189	0.16102	0.04057	0.15026	0.36316	0.10859	0.13116	0.16177	0.13263
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	14.52125	15.0665804280987	14.61066	15.92679	15.4379	15.12661	14.69418	14.80371	15.03376	14.7908
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	27.53161	27.30885680416552	27.88693	27.30651	27.23093	27.5362	27.7349	27.02025	27.09642	27.16511
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	7.80264	6.850885616979735	7.58266	7.11607	7.45704	7.58173	7.61496	7.21194	7.26075	7.56619
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	9.27739	9.631869366879842	9.84481	10.31589	9.72999	9.22675	9.31192	9.87698	10.08622	10.27225
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	16.14402	15.178293499316124	15.61072	16.34897	16.26578	15.89158	16.400290000000002	16.33492	16.16347	16.592080000000003
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	4.42266	4.168502662939158	3.978	4.03206	4.07959	4.40093	4.46411	4.52178	4.15819	4.28036
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	7.858770000000002	6.711180815716834	6.86129	6.841889999999999	7.46248	7.377229999999999	7.45916	7.06767	7.406930000000001	6.0745700000000005
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	1.99608	2.030996747746853	2.17304	1.86865	2.0202	1.7916	1.9402	1.95393	1.86334	2.14742
