#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
UNCLASSIFIED	0.0	2.36578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	100.0	97.63421711014044	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	68.16554	65.82852353431608	67.63069	67.98685	67.9927	67.38974	68.91609	67.48888	67.25135	67.51884
k__Bacteria|p__Actinobacteria	20.83972	20.655075144687743	20.87004	21.05416	20.72028	20.80164	19.94755	21.0426	21.35655	20.54852
k__Bacteria|p__Bacteroidetes	6.45578	6.297758486785655	6.73403	5.45085	5.919	6.07652	5.97158	6.48266	6.06135	6.31664
k__Bacteria|p__Proteobacteria	2.31035	2.3462771616389184	2.60478	2.47094	2.40362	2.38246	2.22881	2.49704	2.76329	2.7702
k__Bacteria|p__Bacteria_unclassified	1.02756	1.4983044591939263	0.88415	1.72912	1.63552	1.6084	1.54589	1.24103	1.2612	1.35643
k__Bacteria|p__Lentisphaerae	0.87327	0.8656933128504823	1.16259	1.04958	1.06805	1.51201	1.05505	1.07883	1.01888	1.26919
k__Bacteria|p__Candidatus_Melainabacteria	0.32778	0.1425850106676491	0.11373	0.25851	0.26084	0.22924	0.33503	0.14865	0.28737	0.22019
k__Bacteria|p__Firmicutes|c__Bacilli	21.7803	22.00990612183832	21.7767	21.60989	21.68998	21.73553	22.55265	21.62854	21.35818	21.77458
k__Bacteria|p__Firmicutes|c__Clostridia	17.0206	15.932508063070248	16.21613	16.73824	17.089	16.4019	16.99073	16.41173	16.52154	16.06734
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	15.16018	15.19300697583462	15.44757	15.61597	15.25827	15.30942	14.57954	15.17561	15.69183	14.98025
k__Bacteria|p__Firmicutes|c__Tissierellia	7.93015	7.0575772546019016	7.99536	7.53029	7.52907	7.79744	7.90163	7.671	7.47631	7.83014
k__Bacteria|p__Firmicutes|c__CFGB10312	7.7928	7.841277351923289	8.36474	8.78839	8.46479	7.80648	8.10156	8.2837	8.23095	8.83473
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5.67954	5.46206816885312	5.42247	5.43819	5.46201	5.49221	5.36801	5.86699	5.66473	5.56827
