UMAP_1,UMAP_2
6.9087615,7.3597074
5.4499745,8.788774
3.9302478,8.156928
5.01707,10.249897
-0.079556495,9.299606
-0.6014605,9.381542
4.717958,8.804387
0.49108338,6.1789703
6.008295,10.553332
0.8956572,7.983771
-1.9673378,8.260316
6.1425614,9.77321
1.371006,8.886595
5.9516997,9.56374
6.2318006,9.277543
-1.758769,7.2925
6.665439,7.1308393
4.885721,9.123399
-1.3646619,8.106015
0.44721678,6.8260508
5.747822,9.819028
7.2479362,7.9173794
-0.31573308,8.930172
2.679267,7.142769
5.9507613,8.704895
-0.27815768,9.6058655
6.515615,8.447058
-2.1125505,7.637639
5.178531,10.2086115
-1.7880641,7.2529297
-0.3697371,6.4911366
4.7651324,8.221151
0.734069,9.620429
-0.7019183,9.605654
4.0492253,8.121757
-2.2379699,9.201171
-0.6872822,9.44385
0.53011787,8.571931
0.9190124,9.232012
0.35903534,8.147507
-1.7154478,7.11303
6.1846066,8.099045
6.004116,9.98831
8.017141,7.2478843
4.478561,8.654721
5.7939324,8.847806
3.7559235,9.781682
-0.44228956,8.082304
-1.8017843,6.498809
5.499065,9.79247
-2.1782572,8.542526
-1.2163717,7.8135505
6.069077,10.56713
2.5949035,9.97946
0.007864225,7.58699
1.847881,8.758736
-1.270458,7.3055935
7.423171,7.498395
-1.6222675,7.9036098
-1.2830193,7.7072625
0.064929746,8.038199
6.303516,8.466613
5.343484,7.4099283
-0.9646514,7.610189
6.517208,11.188779
5.821873,7.172655
1.845307,9.683689
7.9210973,7.302422
2.7349942,9.943962
6.150959,9.822428
5.049273,8.007234
-0.8088047,8.207429
7.001699,7.46393
-0.64590263,8.970319
4.5148487,7.9263067
-1.244174,6.861228
6.4763436,10.652339
0.35552385,9.416776
7.7762275,7.330997
-0.9682631,9.143395
-0.09464386,9.068679
6.5119042,8.2505245
-1.6534907,6.947676
2.5946965,9.912944
-1.9009361,8.443577
6.8242393,9.559822
4.287274,8.8356
4.814815,7.3375015
1.2919884,9.364766
-0.46580106,8.870239
-0.03846252,8.514641
1.5441426,8.753805
5.107582,10.2951765
-1.3542742,8.7319765
3.7701783,8.475099
-2.1510954,6.968519
6.5583744,7.8743324
6.723133,8.440391
5.3389835,9.054381
2.304227,9.73257
4.4304943,9.79432
4.951084,8.111638
5.6965714,9.871447
0.2045715,9.418535
-1.870828,7.898117
-1.5060686,8.987655
3.874794,8.56857
-1.2321948,8.364997
5.2164187,9.857564
-2.1871376,7.587986
0.51632154,8.406997
5.2179236,8.409196
1.6573843,8.656218
6.268009,8.087829
-0.15986075,8.242895
-0.89155084,8.56885
-0.088035956,9.533993
4.531257,9.14184
-0.33840293,8.525706
-1.5658917,7.7477326
-2.2070034,7.907074
-0.16266376,8.221349
