UMAP_1,UMAP_2
9.254569,14.335832
11.224686,14.677157
7.5970306,14.203277
9.143624,15.000014
7.4072,14.875279
7.1766915,16.530966
6.6201124,13.114271
9.85641,12.806162
9.324727,18.19567
8.812748,13.241725
9.868843,18.033836
10.164569,14.11542
7.595299,13.288236
11.000072,16.88953
6.684596,17.132887
11.763204,17.379572
7.337024,17.773878
11.084392,15.235287
9.722359,17.031458
11.556825,16.140005
7.243047,14.558979
10.7403145,17.828762
8.115892,15.280095
11.024535,16.794212
9.19197,17.050797
7.3131247,15.126428
9.4722805,15.372442
10.8300295,18.74589
12.320788,15.930828
11.755908,17.646698
11.183575,17.08038
10.474937,13.981426
6.329553,14.720285
7.3394356,15.904237
7.9845486,13.335227
7.445378,18.01441
7.737976,16.387281
8.319906,13.821747
7.1226563,14.151068
10.001333,15.630846
11.456419,17.512274
9.638443,16.220276
10.111156,17.568739
11.275029,18.17584
9.936618,16.364016
10.158882,18.412144
4.516573,15.657246
10.428166,14.428953
12.241485,17.51343
10.805893,17.275494
9.651032,18.017836
11.185984,16.433325
9.3299465,17.696604
4.6871257,15.463057
9.811842,15.301858
7.7241373,13.131432
10.909237,16.721045
10.355511,17.448467
11.041531,16.637577
10.663694,17.917562
9.761927,15.010598
6.5623326,14.856267
9.446903,15.831903
10.274799,16.181608
12.258598,15.500151
9.798009,14.500972
5.9281693,14.939821
10.591291,17.866028
4.3973513,15.872909
12.075883,14.829112
5.3065867,16.05062
9.341509,17.206709
9.635538,13.683709
9.039439,14.879165
7.722271,13.865202
11.883797,15.807605
7.7733474,15.207307
6.8728547,15.514906
12.218041,15.394123
8.356797,16.871407
8.428427,14.836285
6.5133305,12.921576
12.254557,16.796673
5.1028094,15.686881
9.541969,16.932526
10.107192,15.022673
7.9234824,13.692231
7.838508,17.300362
6.6186376,14.665589
8.7351675,14.340813
9.689012,15.419004
7.308498,13.138649
10.919143,17.273684
7.870499,17.602543
8.060094,13.701788
11.857876,18.388412
8.832205,15.159176
12.465351,15.203301
8.422345,16.187325
4.655787,15.9054365
7.0784965,14.819748
7.5661397,14.473296
10.041117,17.18473
6.499488,14.761271
10.286591,17.690031
8.460396,16.988855
11.255906,16.159613
9.125116,16.471418
11.543494,16.814812
10.934447,18.535748
9.083702,14.823269
5.5853133,15.844783
7.151597,13.583358
11.895132,15.51328
9.64609,15.44453
8.9704485,16.837221
7.5639286,15.233139
10.894477,18.548702
8.153332,14.570681
10.50136,17.460302
9.601289,18.349821
9.063558,15.557193
10.576203,15.553476
9.441305,13.5553
11.073702,17.739151
9.237779,18.096327
10.882676,17.400053
12.209702,17.61662
8.673999,17.30804
8.137884,18.476492
10.738145,18.420301
4.7043624,15.787465
9.834054,13.962887
9.609989,18.397953
9.926952,16.58524
11.506344,18.837048
7.0249567,13.51293
10.047556,16.82161
7.787689,15.634481
10.239155,16.355118
5.2857084,15.7829895
9.369009,17.20782
9.985446,16.628027
11.272492,17.821117
10.246663,15.245011
9.0964365,16.953382
8.989898,17.220943
7.146422,14.212034
11.981814,16.94157
11.244484,18.984287
11.914203,15.223796
8.07145,14.909489
7.78643,18.33397
10.112046,18.089148
11.087505,17.537283
9.095452,16.517475
9.4023695,15.744676
9.683839,18.417301
11.379088,17.710365
7.55668,15.357902
5.663662,15.114795
9.621568,15.548699
8.035743,16.810919
10.946214,16.398272
10.251924,14.343651
4.9359465,15.183884
6.7779894,15.346575
7.929417,15.600554
10.172845,16.054085
10.006593,13.74762
9.4459305,15.252996
7.946151,17.699543
7.0348063,14.695632
9.389239,17.820103
7.95576,16.691442
7.7019043,14.122752
8.478143,16.393618
9.833795,17.847189
8.545719,18.184685
10.506387,15.362267
9.418809,13.7163515
9.719294,14.696183
11.152033,15.981538
8.870919,15.743948
6.1183534,15.371566
7.2167807,15.217191
7.3362975,13.474869
9.258524,14.462852
9.705438,14.4399
8.586937,16.365139
10.946283,18.27847
11.063274,18.805878
6.906576,17.267761
7.388362,17.579105
8.990047,15.175538
10.0039835,17.948982
9.005341,17.650043
9.180074,17.83707
11.385376,16.865694
7.35132,17.90494
8.725132,17.167526
11.044596,17.88057
12.1261635,17.317371
9.671465,16.34254
8.197385,16.531271
11.924429,17.30195
9.68636,17.041052
10.832032,18.08576
6.9059844,14.038522
11.849652,16.65611
8.551526,17.09499
8.470386,14.690169
10.400776,13.807903
10.063053,18.501696
9.02704,18.04002
6.793762,14.286881
11.00988,15.997839
8.950078,18.434366
7.6047673,15.495773
8.974514,14.014139
8.274516,18.171247
8.869185,17.207788
5.4805484,15.023971
11.441663,15.754356
11.4058695,17.356089
11.166911,16.888357
11.919841,17.390497
11.228322,16.803633
7.5380645,17.495247
9.586801,15.723542
8.080854,13.75694
8.300434,15.5598135
11.359803,16.654924
9.18272,13.404969
9.812309,16.944792
8.7980995,14.487344
11.893805,15.037244
9.130931,16.976784
9.443821,17.297356
11.6016445,18.846613
10.989864,17.039484
10.015579,13.8224
6.532063,16.605766
7.991849,17.042042
7.543877,15.066523
6.3821397,15.185537
9.027479,15.261388
11.790824,16.796515
9.889932,16.830675
4.65294,15.42196
8.935781,13.669647
9.050947,15.230542
5.8521633,15.414249
7.484364,17.058365
11.8004055,14.487468
9.767822,16.318638
8.757586,14.118284
9.918792,18.863186
9.01063,16.216736
11.866711,14.6616745
8.058561,16.024134
7.0901318,15.154207
10.115441,15.794571
7.927512,15.034346
8.702306,18.098354
6.702917,16.991566
7.8784804,14.658352
7.3898716,13.666195
11.546145,15.258924
7.6576986,15.769251
8.184426,16.10695
12.828886,15.950813
8.848057,14.20181
7.8598104,14.434272
7.812612,13.321463
8.429758,15.431684
9.4516735,17.439077
8.174374,14.807901
11.625588,15.706529
12.327987,16.230844
7.4204984,17.390919
11.320179,16.588127
12.1489935,15.865516
8.020173,16.034029
8.490245,16.493
11.4279,15.172137
7.927906,15.61204
8.317852,16.843231
10.957634,13.867297
8.618582,17.569809
7.854294,17.350454
7.6944284,16.666656
9.190557,16.751324
11.444877,17.782236
9.273049,13.141107
11.113763,14.446684
9.192504,17.89766
10.937305,18.204914
10.937259,15.855687
11.237584,16.002062
4.772261,15.733806
6.481909,17.083612
10.337385,17.921951
7.960601,18.095469
10.226887,16.595251
10.321785,17.191217
10.733753,15.94638
10.4400215,17.238834
7.999306,14.86344
6.5813875,17.052084
11.596914,16.238142
6.5990624,12.98217
9.919451,14.514101
6.7433124,14.6422205
7.661402,18.407167
11.249375,15.440418
9.505045,13.520595
11.071139,16.462767
5.1871853,15.693159
7.9989753,13.621579
5.733907,15.268893
10.665106,17.85112
8.906412,17.250278
9.75829,17.25487
11.361367,15.143283
10.350764,17.350388
6.011595,16.322504
7.4069643,14.940077
10.589141,16.961496
9.738068,18.502579
11.817446,15.678928
5.8537664,15.637792
10.188233,16.552132
9.159489,16.579279
8.067286,16.22184
9.716776,15.639808
10.120225,17.769304
11.757802,16.93469
7.927402,15.0864105
12.210626,15.052678
10.03458,15.36874
7.883,16.161432
12.176665,17.820202
10.588305,17.874046
12.2586975,15.694051
11.833217,16.810833
10.147757,14.157322
8.234488,15.023306
12.363312,15.212471
7.2263713,15.219209
11.149125,14.164644
11.264872,16.13826
5.407941,16.242432
9.483245,15.740721
11.277599,17.999586
8.539658,15.854526
11.157619,18.118656
8.796428,15.436926
10.592754,17.335058
9.310678,15.9819355
11.442272,18.665623
9.0820465,12.290155
8.086163,14.042566
11.776005,17.516241
9.391376,14.287828
9.293247,14.630067
6.501702,14.448722
8.105869,17.694164
11.292421,14.951144
7.83004,16.434704
6.365951,16.630579
4.292834,15.939292
9.074777,15.894875
10.183727,18.139784
6.6819925,14.99692
7.4706154,16.308594
6.675304,14.165223
12.504391,17.164179
5.8004074,14.73642
11.760198,18.531626
9.785759,15.743025
9.341448,12.1416025
7.4130816,15.399271
10.389352,14.451697
9.224354,16.998283
8.626502,15.350298
11.48937,16.230469
5.363677,16.091711
9.630874,16.705225
9.452047,15.355251
9.281513,15.5225315
12.286699,15.3504925
9.437476,17.087885
7.7349057,14.141532
7.7708097,16.606121
11.215263,15.214796
8.2223215,17.372696
9.227866,12.217743
8.1157,15.456396
5.059073,15.968912
7.280568,17.90786
7.5080066,14.105984
11.824242,15.072179
8.2003,16.093552
5.3660073,16.382591
12.379247,15.455769
12.666825,15.33387
10.207145,15.773769
7.4284105,14.190257
7.840747,16.943678
4.593075,16.079865
6.5103145,16.909578
7.482379,17.24107
11.545663,16.703676
12.4526615,16.237402
11.207983,17.791153
9.753299,14.877359
9.892039,16.469086
10.471478,13.923275
10.326258,16.772673
11.907198,15.944664
9.629816,14.737943
4.4555917,15.853805
6.556704,13.059326
4.91355,15.909157
8.845314,16.583498
4.552689,15.799725
8.411135,15.117675
7.1442585,16.371027
10.55298,18.102041
9.695547,13.886652
10.938142,18.48602
