UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
7.25057,11.146682,9.667001,-1.1682936,2.956582,2.3546643,0.5049961,2.3264093,6.9593325,6.0968165
7.3505683,11.944116,9.672278,-1.8990754,1.870022,1.8575032,-0.21567024,2.5760138,7.1257877,6.1787076
6.7811747,11.724548,9.498646,-1.9911462,1.3946513,2.36549,-0.454437,3.4409127,7.5925384,6.8591185
7.6462846,12.323324,10.028643,-1.9437275,1.3185064,1.6857178,-0.69240767,2.655807,7.5701966,6.262875
7.12266,12.746547,8.38892,-1.9653028,-0.6510837,1.7240905,-1.5534682,5.639183,8.97406,7.6294746
7.235512,12.912061,8.767266,-2.1874743,-0.552431,1.3640537,-1.6859802,5.246099,9.142628,7.409845
7.414502,11.952453,9.871254,-1.9626019,1.744414,2.5043774,-0.61693114,3.1887963,7.7932243,6.6176767
6.7036066,12.176148,8.998674,-3.603073,0.23524928,2.693072,-1.6434054,5.5536737,9.331388,7.4410996
8.09417,12.606847,10.335977,-1.8075136,1.5750086,1.4771519,-0.6008473,2.1141565,7.490985,6.0689793
7.183992,12.369825,8.789285,-2.5631282,0.051660594,2.5541232,-1.4340936,5.471052,9.011703,7.7831025
7.713249,13.138929,9.238786,-2.6029966,-0.44295594,1.2872324,-2.1250055,5.653206,10.008583,7.387338
7.818442,12.389069,10.505152,-1.9018551,1.8715452,1.9190799,-0.45357296,2.0852773,7.5198803,6.381727
6.8801208,12.2747555,8.675371,-2.1004896,0.14278682,1.9539613,-1.1197665,4.883258,8.467629,7.3227916
7.8022575,12.317481,10.637062,-2.2335253,2.0409186,2.277771,-0.5214054,2.2760563,7.8164363,6.5831704
7.5163193,12.110612,9.860938,-1.5510867,1.8727783,1.5280151,-0.070756644,2.1512072,7.066557,6.163979
7.7773356,13.140685,9.268196,-3.3659844,-0.47356123,1.7689228,-2.0238142,5.682218,10.087084,7.28792
7.1029477,11.150958,9.776011,-1.2892044,2.9768095,2.3007786,0.5105517,2.2093017,6.8482394,6.1240683
7.549747,12.052112,9.960893,-2.2621439,1.6272497,2.2674882,-0.8408981,3.1710286,7.9276695,6.385747
7.427496,12.850497,8.862543,-2.8778977,-0.51078224,1.5189346,-2.0329342,5.8336215,9.876498,7.371454
7.177123,12.643379,9.337797,-3.2756474,0.21841425,2.0835881,-1.768189,4.853076,9.248357,7.2399898
7.4339485,12.189659,10.161451,-1.7508649,1.4079098,1.5083467,-0.4181964,2.13574,7.0855565,6.1578026
7.5736346,11.3967285,9.928789,-1.1997241,3.098558,2.716889,0.13480909,2.2023003,7.0029635,6.0247116
7.4077315,12.9477415,8.521046,-2.2642741,-0.6916918,1.9172429,-1.5228064,5.509263,9.013327,7.5866585
7.3119755,12.214878,9.86411,-2.8795927,1.0655476,2.0263324,-1.0534222,3.782655,8.69884,6.957624
7.655934,11.831331,9.851673,-1.6053914,2.3196075,2.517368,-0.2272138,2.6525664,7.4210978,6.327458
7.3745604,12.872187,8.173056,-1.9131043,-0.73816556,1.7005416,-1.4360751,5.6664233,8.965138,7.6210513
7.480458,11.848068,9.917647,-1.4060123,2.2733693,1.995491,-0.0037340324,2.1469934,6.9710317,6.1433964
7.8084154,13.210937,9.601623,-3.184311,-0.35447627,1.5527121,-2.2199278,5.462973,10.111902,7.2835307
7.926255,12.451823,10.032142,-1.9290962,1.4325593,1.7097788,-0.7071894,2.5998929,7.615125,6.167006
7.6940594,13.1045685,9.27595,-3.31478,-0.4265066,1.6524479,-2.0866475,5.722683,10.139154,7.2614346
7.9754972,12.964629,9.463439,-3.2019463,0.13277288,2.2337599,-1.8396938,5.3460107,9.763454,7.388028
6.952731,11.701092,9.677742,-2.1655645,1.867998,2.1887548,-0.22966157,2.862449,7.1635666,6.413361
7.41347,12.692113,8.488749,-1.8351878,-0.22297755,1.6218761,-1.2204015,5.027308,8.690011,7.3534136
7.8385134,13.024237,8.323855,-2.0707858,-0.77371997,1.6523583,-1.611037,5.7586412,9.3754425,7.767704
6.9755197,11.823163,9.655076,-2.064367,1.4569825,2.3760645,-0.50859314,3.3451664,7.6792355,6.826862
8.526243,13.29597,8.494267,-2.509147,-0.6137719,1.5740286,-1.6927346,5.7077503,9.844752,7.6871047
7.5431385,13.05743,8.333301,-2.0976355,-0.85147846,1.5437654,-1.6241561,5.641459,9.196715,7.589046
7.0468674,12.505728,8.715314,-2.0931842,-0.2978366,2.1901603,-1.4790608,5.4000273,8.838974,7.7612033
6.8594403,12.340263,8.534346,-2.1506715,-0.09743499,1.7679882,-1.2194442,5.1006007,8.643626,7.3394394
7.333129,12.721304,9.001754,-2.5339131,-0.3046127,2.3068423,-1.7883679,5.5049667,9.232314,7.883587
7.648663,13.143664,9.221849,-3.575198,-0.30250084,1.68991,-2.1573389,5.6844096,10.135428,7.192568
7.4802384,11.6833315,9.912477,-1.5714226,2.52405,2.3846877,0.032694664,2.4569283,7.2640486,6.3356376
7.966163,12.505712,10.6392,-2.0896242,1.7949204,1.9172168,-0.60802275,2.1080577,7.6701837,6.3424487
7.4372106,11.119345,10.029163,-0.8826172,3.6382904,3.1199884,0.35772753,1.9771099,6.827737,6.0665984
7.149359,11.879331,9.74492,-2.135504,1.6678214,2.2433422,-0.65273815,2.8953211,7.2381105,6.204542
7.689085,12.034731,10.072646,-1.7732878,2.173086,2.2845018,-0.27078974,2.4758737,7.5009675,6.4109173
7.297773,12.117854,9.049474,-1.5168059,1.2422161,1.2396011,-0.20955813,3.0665064,7.4123373,6.436991
7.2507615,12.983805,8.847094,-2.9699864,-0.70925605,2.041342,-1.7600695,5.494317,9.232141,7.400669
7.543554,13.086985,9.486151,-3.9478378,-0.06779032,1.8890663,-2.160633,5.29907,9.932464,7.0941963
7.5446653,12.226292,10.117952,-1.961915,1.472172,1.7883122,-0.5679175,2.4521937,7.3855524,6.263906
8.154874,13.319705,9.285901,-2.7799954,-0.6421389,1.4871824,-2.0325327,5.263691,9.76318,7.2749968
7.0287085,12.885753,9.124473,-2.8773503,-0.47559232,1.524062,-2.0913813,5.714051,9.755868,7.353109
8.024127,12.543753,10.5024,-1.976771,1.5704824,1.375214,-0.6541539,2.0170836,7.4264603,5.9241176
7.218636,12.216593,8.393958,-1.5064089,0.5957764,1.1266345,-0.47424632,3.9458165,7.8673844,6.7521515
7.397996,12.805885,8.574758,-2.8983595,-0.57402664,2.4272857,-1.6965766,5.787457,9.330395,7.88611
6.869707,12.139079,8.735792,-2.0910594,0.4038003,2.0407205,-0.95077634,4.6429663,8.280138,7.200191
7.5512314,13.019255,9.110887,-3.5027304,-0.012504021,1.6957544,-2.0823097,5.352612,9.796677,7.5164533
7.3350964,11.135135,9.876739,-1.0510119,3.2666998,2.8115277,0.35296002,2.157803,6.9189525,6.164228
7.2670774,13.149243,9.173739,-2.877429,-0.49958146,1.4185033,-2.2900276,5.698152,9.90287,7.4500623
7.3408394,12.953922,9.549049,-3.0305989,-0.12747471,1.7623843,-2.352624,5.4110866,9.831668,7.576347
7.6011434,12.9305315,8.764047,-2.6526086,-0.6459719,2.3944983,-1.659769,5.620938,9.231501,7.916815
7.2561703,11.803235,9.916468,-1.5012927,2.1192837,1.8294678,0.022017874,2.1216633,6.887198,6.1860156
6.7968817,11.484661,9.752783,-1.9760625,2.1134803,1.9887577,0.14664584,2.6887927,7.1385407,6.4831643
7.104286,12.697414,9.034476,-3.0645733,-0.26847962,1.6451309,-1.9501544,5.698705,9.761368,7.256496
8.382781,12.904529,10.680697,-1.9275458,1.4720067,0.99257857,-0.73685944,1.7442348,7.507892,5.768152
6.8134527,11.449159,9.934541,-1.847433,2.4644113,1.6629606,0.5006447,2.158815,6.851112,6.257731
7.135331,12.325271,8.487385,-1.7509644,0.335798,1.4101566,-0.773999,4.3519664,8.157546,6.9967265
7.4376917,11.142157,10.0098915,-0.9348179,3.57016,3.064065,0.3478804,2.007513,6.858542,6.086181
7.2486067,12.283866,8.441535,-1.5143534,0.60768104,1.1186874,-0.47341907,3.8683813,7.843548,6.721081
7.964728,12.445824,10.7098875,-2.1189191,1.987829,2.0144346,-0.5191596,2.018132,7.6652894,6.3676343
7.230891,11.879783,9.054618,-1.5472461,1.5672411,1.642349,-0.12550886,3.1598957,7.426699,6.4765115
7.636018,13.212738,8.73998,-2.9452813,-0.575092,1.6606804,-1.7671963,5.202764,9.288878,7.071803
7.3215446,11.261175,9.8552,-1.2399359,3.0416906,2.415872,0.41285673,2.1598296,6.886381,6.0702906
7.467562,12.961585,8.837708,-2.0244758,-0.74446267,1.8157719,-1.7285287,5.529388,9.168139,7.767472
6.760717,11.556606,9.626775,-2.0542586,1.8508443,2.1500602,-0.084028415,2.935329,7.1793804,6.5457897
7.68435,13.220352,9.06369,-3.6692462,-0.3451249,2.0524163,-2.0894241,5.609734,9.862309,7.3531265
8.098857,12.655131,10.522709,-1.8060858,1.6289033,1.1607605,-0.4996694,1.744404,7.3196797,5.9109683
7.026881,12.71204,8.64698,-2.091268,-0.40235066,1.5477146,-1.4555099,5.173597,8.84035,7.406471
7.4343443,11.180723,9.981745,-1.0090305,3.4430692,2.955458,0.32892552,2.0522547,6.893721,6.0960364
7.683781,13.127639,8.4210615,-2.168579,-0.7998555,1.473006,-1.7089895,5.6790543,9.385827,7.5724897
7.46565,12.922688,8.219897,-2.2866015,-0.90019584,2.0756586,-1.5565726,5.7764044,9.053445,7.862647
7.5960917,11.744286,9.967108,-1.6484088,2.4959571,2.3166795,-0.15144964,2.3750443,7.134298,6.033283
7.45568,13.188388,9.460393,-3.3655705,-0.3309635,1.7967794,-2.367057,5.476661,9.891474,7.4995213
7.2492137,12.247538,8.530461,-1.5635047,0.63522446,1.2000937,-0.5273418,3.8885972,7.869694,6.7878103
7.776481,13.208216,9.452329,-2.3534927,-0.60756063,1.5821915,-2.1171668,5.5189776,9.749783,7.6703825
7.6669717,12.162278,10.313554,-1.5954728,2.0662527,1.5544292,-0.12751687,1.7794068,7.0422993,6.0448084
7.1515846,11.925834,9.772829,-1.9009823,1.4407024,2.2410007,-0.5503874,3.1437066,7.5979238,6.667719
7.394512,11.598365,9.546803,-1.4176466,1.9524199,1.6506797,0.11387917,2.8440304,7.606184,6.3741426
6.736617,12.274571,8.480468,-2.019012,-0.041443992,1.643018,-1.0555488,4.877278,8.382009,7.2253036
7.4573097,12.925939,8.343491,-2.3352177,-0.62524134,1.9441266,-1.4363855,5.5675535,9.027859,7.536028
7.3930836,12.918655,8.4596615,-2.443915,-0.8075939,2.101733,-1.7026302,5.7293506,9.150428,7.8403254
7.0782886,12.30092,8.638643,-2.0214,0.2792339,2.0451512,-1.0409638,4.850453,8.453666,7.3090158
7.8825555,12.437495,9.985269,-1.8946974,1.407877,1.6005462,-0.66565394,2.5765634,7.5660567,6.1466713
8.003231,13.19098,8.77505,-2.3156352,-0.5720674,1.4172745,-1.873184,5.559119,9.6626625,7.3639197
6.963261,11.872024,9.54372,-2.1062183,1.2416283,2.3356628,-0.6762896,3.4632716,7.6196647,6.6928215
7.6629057,13.118285,9.718187,-3.5131097,-0.13556227,1.6230729,-2.2446654,5.295086,10.059431,7.1207814
7.1901865,11.49755,9.937809,-1.3445612,2.6928687,2.4929461,0.19268702,2.2058089,7.069053,6.4384704
7.936841,11.976915,10.004877,-1.5277659,2.3585625,2.3581996,-0.420091,2.3985775,7.2938156,5.9356008
7.061337,11.939995,9.713438,-1.9897355,1.5850437,1.6390516,-0.24859512,2.6033099,7.218147,6.3827405
7.2971606,12.359601,8.537631,-1.6016988,0.5431263,1.2148685,-0.59042764,3.9878461,7.946785,6.8322835
7.359767,12.011504,9.682685,-1.4554701,1.7237877,1.5416949,-0.11604118,2.364203,7.1043606,6.2537713
6.9230933,11.720349,9.910008,-1.6374534,1.8400668,2.1546302,-0.15778773,2.477564,7.07355,6.5325136
7.849329,12.420063,10.518158,-2.1443202,1.7307881,1.9965247,-0.6217948,2.2767758,7.6764035,6.3821855
7.2147126,12.618763,8.218052,-1.7954589,-0.4061449,1.7094467,-1.3209746,5.4924636,8.825459,7.568025
7.5851793,13.183301,9.267538,-2.944621,-0.5687724,1.4999423,-2.1163378,5.6885676,9.973522,7.3457246
7.939119,13.216466,9.068778,-2.3220844,-0.9254314,1.8277171,-1.954972,5.4747057,9.470148,7.835496
6.9901104,11.910454,9.642537,-2.3939168,1.4680754,2.1326346,-0.6658001,3.1640441,7.4331665,6.419992
7.3603387,13.078958,8.847427,-2.5236416,-0.57957315,1.3873736,-2.0655348,5.7310367,9.724451,7.5210223
