UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
9.551805,8.133061,2.7897122,6.0513353,12.269722,1.6470189,4.136701,-0.79309106,2.5550597,3.6997678
9.9856615,8.049285,2.2260518,4.385483,11.955003,1.9680665,4.4867496,-0.6120938,1.7743053,2.9865406
9.870823,8.455152,3.2326326,5.3270664,12.129308,2.3398015,3.419027,0.5090976,2.186306,3.215843
10.130244,8.451954,3.159381,5.449807,12.165991,1.7347802,4.178057,-0.2278692,2.1103868,3.4330266
9.765174,8.278095,3.0423245,5.56265,12.038534,2.5212774,3.3843026,0.15702155,2.4285007,3.5218563
10.625431,7.8737926,2.863223,5.9435644,11.5417385,2.485202,3.3016832,-0.61692864,2.8617716,3.8686268
9.3562,8.1839485,3.8278818,6.4053698,12.56313,1.7233398,3.2345684,0.4570892,2.4832416,3.610492
10.230052,8.475681,3.4871488,4.97397,11.811986,1.4880717,4.5558066,0.48005328,1.6805161,3.0103118
10.974998,7.795721,2.1558073,5.656559,11.184271,2.187004,4.1407456,-1.690101,2.8594651,3.8835547
9.4278145,8.191204,3.361646,5.9831767,12.267275,1.5094105,4.097229,0.05848791,2.279791,3.4756866
10.988061,7.889199,1.8117515,5.3605237,11.1225395,2.2666264,4.2550764,-1.8442421,2.8334448,3.528848
9.508754,7.822877,2.4676607,5.9467874,11.858505,1.4663806,4.575938,-1.0723149,2.5729532,3.538701
9.912911,8.526471,3.7344656,5.7286887,12.11646,1.9611367,3.6568277,0.73589593,2.2046497,3.293036
11.177392,8.54247,2.3676405,5.05668,11.668052,1.4972075,4.9680877,-1.5884001,2.3392606,3.1482525
11.019408,7.5738144,2.9604456,6.0272217,11.23409,2.4580843,3.3516948,-0.7251082,2.8959203,4.1285543
11.133742,7.6249356,1.8230972,4.6141067,10.983532,1.959904,4.823978,-1.651203,2.1733885,3.2903519
9.789534,7.9335117,1.842774,5.486852,11.397752,3.227197,3.4627614,-1.1148435,3.0117135,4.083109
10.2228775,8.027637,2.1036046,4.3756967,11.893585,1.9417256,4.350291,-0.72280294,1.7976726,2.8847117
10.955456,8.345152,2.1614966,5.3598485,11.472542,2.2993495,3.9054759,-1.2950723,2.795685,3.0461895
11.092249,8.781637,2.4494061,4.7308106,11.60852,1.6089177,5.2225556,-1.301387,2.3432438,2.7198546
9.718078,8.399282,2.9589288,5.3128877,12.338596,2.4504914,3.2870605,0.1774307,2.2407315,3.3482797
10.714335,7.6608214,1.7262439,4.776812,11.188072,2.176009,4.5948563,-1.6717811,2.3061912,3.558844
9.729451,8.2475195,2.876584,5.790423,12.375276,1.9447076,3.6762223,-0.46975887,2.4347734,3.5293818
11.467309,8.225337,2.5392606,5.11947,11.182989,1.5872597,4.956675,-1.3338963,2.345505,3.0817826
10.552342,8.054918,2.0500286,5.641669,11.490592,2.49838,3.6418283,-1.3559759,2.9696002,3.4156437
9.643238,8.44565,2.954115,5.5981183,12.514133,2.4321134,3.1649303,-0.037022542,2.418593,3.4909778
10.203176,8.261369,2.8177028,5.699604,12.284486,1.5415307,4.3851075,-1.0805207,2.290457,3.8149576
11.347114,7.97095,1.8456832,5.085334,10.883585,2.1262243,4.9686446,-2.1436307,2.593334,3.8689883
10.58459,7.6071906,1.7924756,4.144161,11.318128,1.9617795,4.79519,-1.2313508,1.7562203,3.0293217
11.324584,7.7415023,1.8415515,4.7514286,10.900428,1.9550152,4.8106947,-1.7499573,2.320705,3.2669957
10.88213,7.906809,2.0024686,5.0733027,11.223553,1.9105476,4.888568,-1.791159,2.428388,3.6270413
9.969631,8.216921,2.903447,4.9179225,12.108198,1.8180362,4.136839,-0.017683936,1.8286384,3.0746212
9.423489,8.132661,3.0534542,6.116225,12.04994,2.5007083,3.4149065,0.013959265,2.7289982,3.8000426
9.656938,8.278661,2.6787539,5.769942,12.175214,2.6805768,3.2528741,-0.40118578,2.6945608,3.8902109
9.9185295,8.633059,3.6523614,5.961131,12.225876,1.8366094,3.867506,0.35366094,2.335781,3.474923
9.875197,7.9989934,1.823422,5.4363627,11.39977,3.2556746,3.5393312,-1.2072947,2.989033,4.172096
9.870576,8.21442,2.3646238,5.5065346,11.997743,2.6804817,3.3891926,-0.7372728,2.6898408,3.5951984
9.9556465,8.645208,3.462501,5.8692536,12.195634,1.9133416,3.9522185,0.14069025,2.3562424,3.526902
9.996339,8.368731,3.3309617,5.5408797,11.831648,2.3513784,3.472248,0.5753551,2.346417,3.2142668
10.57871,8.527745,2.970606,5.614789,12.012063,1.4712166,4.7168145,-0.959665,2.2765896,3.6248856
11.08078,8.154688,2.2145255,4.60819,10.98645,1.9978182,5.003649,-1.1136129,1.9980941,3.4079642
10.452095,8.543033,2.6265118,5.476381,11.630232,1.8777847,4.7864347,-1.0132513,2.4268348,3.7044363
11.139336,8.0097475,2.054604,5.2260036,10.9748745,2.3298075,4.503672,-1.6372172,2.6648188,3.7382846
11.303233,7.925621,1.7816365,4.9596477,10.903628,1.988644,5.0200677,-2.075131,2.4829044,3.6286354
11.046186,8.562456,2.6004882,5.5454316,11.856923,1.7501061,4.0819693,-1.1634767,2.6394765,3.0298645
11.03039,7.876114,1.7031319,5.130708,11.005039,2.3292277,4.585393,-2.0272982,2.6971357,3.755756
9.156258,7.2128816,3.5757725,6.88233,10.6492815,3.4047544,3.0426867,1.4416583,3.2792287,3.9517121
10.378739,7.8336773,2.6058192,4.9105964,12.111063,1.5145222,4.299366,-0.7982685,1.7992138,3.2032952
11.464427,7.9856195,2.0022855,4.3918443,11.056914,1.6891519,5.1191835,-1.5603683,1.8060675,3.223146
11.332638,7.99156,2.0245445,4.902352,11.274342,1.9741368,4.323385,-1.5550425,2.343697,3.1179738
11.035893,7.9512978,2.1357284,5.3100677,11.072625,2.4267678,4.373418,-1.6215822,2.6947956,3.9644816
11.264403,8.513849,2.4281793,4.9234743,11.6389475,1.5331781,4.8719487,-1.393277,2.3118439,2.8175578
10.900231,8.79365,2.644635,5.4301906,11.848891,2.2173686,4.2637887,-1.2284219,2.6291044,3.8550699
