UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,UMAP_51,UMAP_52,UMAP_53,UMAP_54,UMAP_55,UMAP_56,UMAP_57,UMAP_58,UMAP_59,UMAP_60,UMAP_61,UMAP_62,UMAP_63,UMAP_64,UMAP_65,UMAP_66,UMAP_67,UMAP_68,UMAP_69,UMAP_70,UMAP_71,UMAP_72,UMAP_73,UMAP_74,UMAP_75,UMAP_76,UMAP_77,UMAP_78,UMAP_79,UMAP_80,UMAP_81,UMAP_82,UMAP_83,UMAP_84,UMAP_85,UMAP_86,UMAP_87,UMAP_88,UMAP_89,UMAP_90,UMAP_91,UMAP_92,UMAP_93,UMAP_94,UMAP_95,UMAP_96,UMAP_97,UMAP_98,UMAP_99,UMAP_100
7.0532126,9.230785,6.857729,10.398756,5.2476654,4.3380675,6.9312983,7.4124103,6.2412586,6.0128326,3.127812,6.110757,5.4062133,1.724303,6.51317,3.7022905,4.957138,6.6950374,5.9364986,6.8311195,6.1255326,5.6779337,5.0069323,6.0462704,4.427474,6.433307,5.16993,5.7168903,3.5855162,4.5271325,5.639205,5.134372,6.1326437,4.300292,3.6325376,5.3597794,5.7137313,3.8634412,6.836282,2.6464365,5.356862,3.816412,5.6065683,4.1917014,2.4103885,5.62269,3.3629186,5.9968944,4.9631753,6.5149217,4.1448007,6.9356833,3.774809,4.978653,3.9108725,6.747894,5.0967293,5.570328,4.7307796,5.837114,4.5830054,5.3784757,3.4517524,6.000382,4.12917,5.1074967,4.441857,5.5294175,5.724646,6.4525585,4.655854,4.585012,5.009517,4.894073,5.2118306,5.517106,5.567854,4.6203156,3.964055,3.285092,5.124488,5.2370777,4.583514,5.396966,5.097016,5.796601,5.1393976,5.3003078,5.9078245,6.380755,4.938786,5.3364162,4.8806334,4.4714007,4.917357,3.958786,5.9286375,5.335066,5.3016825,4.157492
6.6993804,9.889158,6.6104636,10.631705,4.976136,4.1117196,6.6542096,7.251526,6.489998,6.0389123,3.5208187,6.148918,5.5342565,1.7335236,6.5433455,3.800423,4.673296,6.6881986,6.118159,7.166772,6.2582393,5.6548343,4.917884,6.3887897,4.126075,6.4578357,5.1025224,5.7713585,3.2993948,4.5567455,5.553429,5.252329,6.21538,4.435492,3.8552954,5.330108,5.575535,3.5890749,6.87137,2.609853,5.29404,3.6063755,5.631248,4.2452726,2.2526903,5.6016407,3.4014235,6.0811143,4.881597,6.416473,4.2917876,7.156711,3.7380228,5.0639215,3.8058262,6.9193826,4.872563,5.589877,4.702121,5.9849696,4.8332043,5.5396876,3.430186,6.1366754,4.1231303,5.11488,4.456591,5.783556,5.8489885,6.3608828,4.6049623,4.4873347,4.894365,4.8751593,4.858604,5.6661124,5.8073983,4.4203897,3.8411014,3.3615806,4.9417424,5.1121306,4.391473,5.4572554,4.8537655,5.828895,4.6803837,5.508644,6.05779,6.523997,4.8450704,5.337389,4.656422,4.425615,4.9504304,4.2007127,5.9829626,5.349062,5.300313,4.058796
5.8454914,10.223578,6.2672434,10.67251,4.8791437,4.349147,6.6231775,7.1610503,6.3655205,6.000748,3.4777143,6.11737,5.551477,1.8059934,6.55744,3.7850077,4.785915,6.5246887,5.9817038,7.2357426,6.186313,5.7008057,4.904022,6.320448,4.0928435,6.4725184,4.9763174,5.837455,3.2895405,4.5132384,5.6161933,5.320475,6.2276177,4.5059123,3.7905085,5.2666664,5.5435424,3.81235,6.743587,2.4898531,5.3929152,3.6898723,5.63607,4.4717855,2.3351135,5.577318,3.4152715,6.0820394,4.9355273,6.255674,4.3761764,7.1046987,3.760221,4.980216,3.9634387,6.85147,4.946549,5.5423584,4.6233425,6.0204678,4.8780875,5.5161304,3.5611124,6.0553627,4.1151867,5.1452045,4.553787,5.783813,5.80326,6.30759,4.7333384,4.627842,4.810135,5.031584,4.896582,5.7979627,5.7942142,4.460895,3.8879716,3.2969716,4.799742,5.143658,4.303149,5.548161,4.913852,5.702197,4.489827,5.566228,6.0558677,6.6438174,4.737356,5.303548,4.6573367,4.5791063,5.0206485,4.323246,5.8907633,5.2845583,5.462597,4.196363
6.696412,10.515571,6.512351,10.617095,4.7999105,3.9111738,6.5557694,7.0424705,6.526648,6.0234685,3.710939,6.2030067,5.4921727,1.6671859,6.6300154,3.8281133,4.63517,6.686119,6.2887354,7.2504296,6.26884,5.7120743,4.961849,6.5409393,4.1114955,6.5395293,5.0606,5.843515,3.2505047,4.4986463,5.5275397,5.17346,6.2754383,4.5531087,3.9315002,5.495383,5.554076,3.563835,6.8275023,2.6687465,5.4074774,3.4151163,5.6369567,4.3547454,2.2121108,5.633041,3.4847894,6.065297,4.7681355,6.4160814,4.4792585,7.228476,3.6905901,5.027341,3.838751,6.9318757,4.735606,5.533316,4.7033815,6.075369,4.9022923,5.594558,3.437551,6.211053,4.095523,5.180412,4.458173,5.941614,5.9043994,6.21138,4.4567175,4.4854174,4.836212,4.95811,4.569083,5.655665,6.0291343,4.389692,4.0672197,3.4248378,4.968082,5.040762,4.3004727,5.5319324,4.76551,5.804788,4.4437556,5.559812,6.208347,6.448198,4.819024,5.268768,4.556292,4.471499,4.98211,4.40858,5.9812813,5.3436594,5.3578014,3.9770987
5.042728,10.6957855,4.7068176,10.642883,4.656334,4.9088507,6.0955606,6.7401447,6.3940496,5.811407,3.6903946,6.1194344,5.988537,2.0161235,6.686698,4.146004,4.633479,6.1621594,6.062252,7.922289,6.114886,6.0815134,4.467808,6.7961545,3.689828,6.5022807,4.38647,6.2236295,2.5938623,4.2578273,5.436635,5.584494,6.5592747,4.865034,4.0121913,5.1905494,5.1165624,3.8645062,6.257556,2.13446,5.6085596,3.430042,5.6467586,5.36205,2.432084,5.5708385,3.543112,6.137447,4.8256874,5.515499,4.897051,7.421346,3.762439,4.9264197,4.2547507,6.9010906,4.6024003,5.2716627,4.5295863,6.561644,5.406741,5.871497,3.8745546,6.1198034,4.17687,5.2174773,4.7698092,6.0997853,5.985507,5.8562665,4.540261,4.8982487,4.492771,5.4639544,4.451245,6.3006487,6.126865,4.142379,3.6552334,3.354395,3.7814083,4.8921785,3.7140014,5.885869,4.5960937,5.4551597,3.09816,6.1079707,6.2405105,7.184128,4.262318,4.9588404,4.018316,5.0910335,5.3608603,4.9305644,5.600672,5.166231,5.90531,4.2858567
5.3681874,10.915598,4.7909408,10.406069,4.565568,4.775595,6.101824,6.6820097,6.422693,5.8056045,3.7918658,6.115412,5.9329023,1.9164623,6.6726265,4.207582,4.6235213,6.234839,6.1394,7.8834257,6.1379848,6.1115584,4.503815,6.8767223,3.6991768,6.5795984,4.4199705,6.2062216,2.59221,4.2246532,5.4289794,5.53786,6.590454,4.894507,4.0522003,5.256622,5.146242,3.820051,6.308874,2.2410483,5.689974,3.3046074,5.624853,5.347687,2.453552,5.6201134,3.5566921,6.16414,4.807035,5.5688367,4.9087276,7.501889,3.7451928,4.9152594,4.2059646,6.9094024,4.494557,5.261283,4.51795,6.549572,5.395999,5.819468,3.8319557,6.1931224,4.122739,5.2369604,4.6939354,6.168225,5.962409,5.8564997,4.4438577,4.8655148,4.498488,5.387464,4.340604,6.2508545,6.229155,4.1438937,3.7198403,3.4244988,3.834251,4.8532367,3.718738,5.850675,4.551473,5.463921,3.0963056,6.0929623,6.3030405,7.153751,4.2928,4.989529,4.008147,5.0599413,5.3220763,4.9463463,5.6361437,5.142568,5.817905,4.2038536
6.547115,10.3362875,6.5362415,10.677997,4.829163,4.1673036,6.6979175,7.098537,6.344367,5.981521,3.51579,6.127738,5.3742547,1.7686126,6.556263,3.872702,4.8334103,6.526546,6.0322084,7.1594267,6.1395087,5.7613535,4.947723,6.4527726,4.213881,6.519176,4.9284253,5.9230766,3.2401392,4.454355,5.5316486,5.2512546,6.3164864,4.605809,3.8484325,5.427785,5.5550942,3.8447468,6.660509,2.5060716,5.564131,3.5798984,5.6165724,4.5881724,2.4785519,5.634383,3.4800568,6.098222,4.869926,6.2819004,4.3833747,7.2093577,3.7528965,4.895142,4.059214,6.7456536,4.8306274,5.448549,4.5946136,6.020865,4.885021,5.5041695,3.5785453,6.0678997,4.076154,5.210934,4.5074353,5.8103547,5.790318,6.2461734,4.541047,4.5530295,4.802763,5.0480146,4.7492833,5.7233424,5.870094,4.559737,4.0071783,3.353538,4.8365326,5.0928645,4.2718186,5.5925183,4.892499,5.7107353,4.4898458,5.587664,6.176511,6.621004,4.810429,5.2570057,4.582519,4.670415,5.0676775,4.3467565,5.8772726,5.260098,5.3952966,4.0737524
4.9231033,11.432844,5.4878483,10.899679,4.206845,4.796232,6.335248,6.8444314,6.3362403,5.759805,3.775943,5.9265795,5.7076426,1.9699758,6.4417105,4.147883,4.7062116,6.083464,5.7213535,7.644617,6.0561895,5.868671,4.600095,6.7191896,3.8149936,6.574013,4.3811865,6.2151885,2.7118917,4.3400493,5.4453745,5.6414056,6.484335,4.7956557,3.8719661,5.0635448,5.312065,3.9680502,6.4844613,2.1566625,5.8247247,3.5541804,5.5903487,5.3803253,2.7048628,5.621489,3.5641115,6.2813787,5.03107,5.739523,4.441407,7.460833,3.770688,4.7396936,4.2179737,6.7003303,4.6971493,5.3907948,4.2382884,6.3260813,5.4435854,5.5457006,3.8502765,6.0108995,4.0349526,5.2956934,4.630493,6.104845,5.733284,6.171168,4.791568,4.8035035,4.5151796,5.206338,4.616301,6.327896,5.9915905,4.4084406,3.4839864,3.371003,3.9330533,5.07355,3.77085,5.7962937,4.575456,5.456238,3.6887174,6.101588,6.2975016,7.487724,4.438001,5.313568,4.264288,4.9446917,5.361558,4.819534,5.763123,5.001747,5.651821,4.228611
7.350244,10.364779,6.7262335,10.527582,4.856077,3.715118,6.590484,7.057216,6.568688,6.0393248,3.74364,6.2495494,5.4474277,1.5786823,6.657726,3.8259656,4.6073327,6.820194,6.4351354,7.1741323,6.3121433,5.705645,5.0264864,6.5643015,4.1764297,6.568919,5.1653075,5.787087,3.312328,4.508221,5.513652,5.0733414,6.2662983,4.522565,3.9740999,5.603667,5.60407,3.4387481,6.907021,2.805968,5.399631,3.3155155,5.6280894,4.1855893,2.1371658,5.6576056,3.4853163,6.0494103,4.7032895,6.5510774,4.4836607,7.2367167,3.66187,5.0690484,3.7353659,6.9668274,4.67105,5.5439644,4.7696834,6.056955,4.8460717,5.601253,3.3392699,6.2815137,4.0826187,5.1842623,4.385253,5.9539824,5.9299774,6.1920133,4.335549,4.4063354,4.9015784,4.8685083,4.5190864,5.518902,6.083783,4.37786,4.1690373,3.4848468,5.137224,5.017107,4.3799343,5.4779334,4.7417974,5.874989,4.5799146,5.4678597,6.2151914,6.282239,4.901583,5.256005,4.585392,4.3777466,4.924824,4.347337,6.0340204,5.3852987,5.2678747,3.87798
5.0091357,10.915402,5.246988,10.88437,4.494152,4.8767657,6.3144865,6.8831043,6.317084,5.804733,3.6513696,6.065179,5.728306,2.0881665,6.5600433,4.0551147,4.699761,6.063525,5.8599315,7.683029,6.0427237,5.887654,4.622616,6.7213573,3.8388004,6.4775143,4.3933597,6.2195935,2.7280917,4.356872,5.4133534,5.592297,6.5060663,4.7696347,3.9203007,5.146572,5.262802,3.9640322,6.3168488,2.0672686,5.667686,3.5878444,5.6488237,5.340518,2.6394458,5.6094623,3.6051466,6.202387,4.926178,5.693031,4.554077,7.4217596,3.7712727,4.803465,4.311206,6.697102,4.765073,5.331264,4.3587165,6.3977065,5.4008155,5.728357,3.8838124,5.9595113,4.1295476,5.268204,4.719477,6.0289373,5.8246574,6.0750713,4.6577473,4.782192,4.5005674,5.3630743,4.585792,6.2718744,5.977527,4.3988247,3.5654812,3.3040788,3.9906948,5.0166173,3.7786572,5.877241,4.656001,5.477731,3.6038105,6.0912085,6.2998075,7.3036737,4.4392405,5.159116,4.1876955,5.0368323,5.371066,4.7521086,5.6964445,5.1207514,5.7456937,4.2370267
