UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,UMAP_51,UMAP_52,UMAP_53,UMAP_54,UMAP_55,UMAP_56,UMAP_57,UMAP_58,UMAP_59,UMAP_60,UMAP_61,UMAP_62,UMAP_63,UMAP_64,UMAP_65,UMAP_66,UMAP_67,UMAP_68,UMAP_69,UMAP_70,UMAP_71,UMAP_72,UMAP_73,UMAP_74,UMAP_75,UMAP_76,UMAP_77,UMAP_78,UMAP_79,UMAP_80,UMAP_81,UMAP_82,UMAP_83,UMAP_84,UMAP_85,UMAP_86,UMAP_87,UMAP_88,UMAP_89,UMAP_90,UMAP_91,UMAP_92,UMAP_93,UMAP_94,UMAP_95,UMAP_96,UMAP_97,UMAP_98,UMAP_99,UMAP_100
10.233993,9.338299,9.011516,6.9916,10.427414,4.5502744,8.967976,5.1185274,6.7803984,6.0789185,5.5230055,7.410133,6.2638345,4.9109526,5.556346,5.2636123,7.0336237,6.5166216,7.447857,6.6589084,4.966204,5.6604548,4.6901226,4.933052,5.335155,5.5845027,4.100967,5.8442054,3.7306063,6.0908127,4.1980677,3.1663578,6.1828914,6.2267523,2.7533872,4.0033193,5.119654,5.18767,5.9502044,4.169959,5.562031,3.6698174,5.338571,4.6512775,4.560987,4.199572,6.0600824,4.82232,6.2747893,4.9578214,4.061806,4.5971904,3.4395938,6.1782866,6.014611,5.2825685,6.5515585,6.0925894,3.7966475,4.352201,5.3331013,4.5403132,6.672888,7.2835035,6.198152,5.948701,4.952971,2.7398458,6.45003,4.9310384,5.07604,5.896877,3.785357,4.2806363,5.155281,3.6862342,4.8266554,5.3511014,4.6303425,5.866136,4.6439195,4.4713283,4.906405,4.581638,6.1290154,4.3041644,3.9076154,4.0960135,4.462968,5.4768605,6.235799,3.5573106,4.4473624,4.6896915,5.251332,5.6641693,5.0592027,6.4549694,3.8894427,6.036311
9.705636,9.0768175,8.493933,6.7780128,11.329428,4.783368,9.184046,5.024532,6.7261558,6.1243854,5.636479,7.301767,6.2618294,4.9329653,4.811309,4.955523,7.0548425,6.6644874,7.461567,6.6701026,5.012223,5.6146812,4.6181927,4.5325985,5.416575,5.80348,4.2755136,5.830852,3.7837589,6.098807,4.067838,2.834567,6.222693,6.3623543,2.743335,4.049887,5.108007,5.1469755,5.9655914,4.270111,5.698682,3.6908324,5.457373,4.5397396,4.622457,3.768973,6.082985,4.5945706,6.180377,5.111969,4.066499,4.571817,3.2705886,6.057812,6.1198835,5.341752,6.56706,6.589506,3.850195,3.9718337,5.3689733,4.538673,6.674471,7.266274,6.387725,5.6894927,4.8663445,2.6426275,6.628164,4.9857883,5.122094,6.0544133,3.7322247,4.2107944,5.2531514,3.450819,4.788838,5.5742984,4.3014727,5.6472893,4.4303613,4.3858175,4.93051,4.5436316,6.3170776,3.9868948,3.870971,3.7369244,4.4519434,5.6909404,5.874063,3.657087,4.3163958,4.7132945,5.2776423,5.664722,4.7842836,6.647228,4.0933948,6.0993595
9.955926,9.19542,8.217841,7.312241,10.595934,4.600283,8.850985,4.811815,7.014618,5.9698286,5.4831758,7.101427,6.369725,4.5304723,5.310794,5.44072,6.7883425,6.615706,7.4272,6.377908,4.876778,5.681337,4.6776896,4.6371813,5.432485,5.463091,4.3192086,5.92595,3.9259276,6.0133014,4.10184,2.8345513,6.460853,6.4748435,2.8577464,3.9846473,5.2036033,5.1379976,5.9095516,3.955843,5.770318,3.7325587,5.242338,4.6442695,4.3865933,4.2469068,6.142057,5.073323,6.121248,4.9585,4.2250786,4.530596,3.5729432,6.16168,6.001245,5.3878536,6.3213735,6.3848567,3.6561148,4.233422,5.3583884,4.5251865,6.3454437,7.058027,5.996356,5.5065517,4.955204,2.9569528,6.4678836,4.7780356,4.880678,6.0332723,3.8192413,4.5027924,5.0946555,3.594859,4.86087,5.3343906,4.5345383,5.4569826,4.6777143,4.487846,4.7847095,4.557234,6.0612454,4.103518,3.8974345,3.9026113,4.406735,5.6684046,5.801703,3.8514688,4.3689632,4.718312,5.269637,5.478463,4.9460273,6.389579,4.1838927,5.895175
10.150516,9.478474,8.7893095,7.0894938,10.87488,4.721869,8.803383,4.9383264,7.0222354,6.0659394,5.5537615,7.2506247,6.2917047,4.7653146,5.248569,5.2733994,6.8670764,6.642008,7.4343224,6.5594363,4.946055,5.6510234,4.6674275,4.6652455,5.3792677,5.6063433,4.2030015,5.877272,3.8218825,6.138121,4.0341964,2.967664,6.3036437,6.2715282,2.8070092,3.9533362,5.133895,5.157214,5.9248405,4.0988784,5.6677055,3.762466,5.4153214,4.6266875,4.3690925,4.1531925,6.062871,4.814427,6.0974793,4.9601283,4.1623054,4.5865083,3.4018705,6.1938114,6.05375,5.278242,6.4710712,6.3104277,3.7588906,4.218061,5.333314,4.5629454,6.5103126,7.0401764,6.163391,5.7737756,4.980467,2.8087955,6.4604917,4.971725,4.9887834,5.9306355,3.7934499,4.3270807,5.097374,3.6000333,4.8416414,5.4097385,4.513532,5.636462,4.7393565,4.5460615,4.8941507,4.5426908,6.2122293,4.090688,3.8964968,3.9599538,4.4387765,5.492311,6.003464,3.7194436,4.344817,4.747473,5.2277756,5.5494633,4.920117,6.403166,4.039918,5.9307857
9.965771,9.028127,8.317383,7.1886263,10.416714,4.489982,9.120055,4.8906536,6.860083,5.948599,5.3966813,7.181209,6.4008517,4.598663,5.3401804,5.4321833,6.920687,6.545373,7.4485717,6.4617686,4.8612347,5.679848,4.599878,4.7918835,5.477428,5.4563737,4.234591,5.8656645,3.9185703,5.9862404,4.147559,2.9711149,6.4098163,6.48944,2.7949471,4.0086465,5.169153,5.146392,5.981755,4.0559335,5.672738,3.678981,5.1829123,4.5873413,4.584038,4.3148046,6.1510315,5.079297,6.283363,5.045923,4.1469355,4.4564357,3.523188,6.0925655,6.0232096,5.4095693,6.2706017,6.2476354,3.717185,4.250858,5.2702427,4.4451423,6.4133277,7.226233,5.9733477,5.5352674,4.892273,2.8970063,6.5384007,4.772433,4.9244742,6.0635014,3.7961493,4.469902,5.1400375,3.6376317,4.8526216,5.3503194,4.5322695,5.627139,4.5930767,4.496836,4.840901,4.5624723,6.0471144,4.284327,3.9544454,3.9294627,4.3673143,5.6874084,5.8667626,3.7528162,4.467396,4.695203,5.282131,5.614473,4.953078,6.4705696,4.1552706,5.961634
10.194985,8.6811495,8.386724,7.1579576,10.295833,4.44831,9.172529,4.902126,7.0662813,5.992577,5.397741,7.313037,6.4090123,4.6862144,5.1634793,5.401087,6.9528937,6.489984,7.4619703,6.664101,4.879168,5.6519494,4.422386,4.8718824,5.6361413,5.4431324,4.028425,5.772577,3.9633448,6.223352,3.9686773,3.2365227,6.3354497,6.2775073,2.7162337,3.9325325,5.036434,5.1725864,6.0878754,4.2689857,5.497225,3.7791271,5.3577423,4.462447,4.6202364,4.5094824,6.049481,5.0012455,6.2634892,5.199268,4.102271,4.4277134,3.2936046,6.1134677,6.142,5.2139955,6.1458044,5.911165,3.8790236,4.254566,5.0368137,4.428371,6.306277,6.972009,5.8697515,5.6942015,4.9371696,2.8305628,6.539025,5.0076456,4.886538,5.9545145,3.7114868,4.340062,5.092263,3.7544186,4.873915,5.458402,4.51501,5.815884,4.844542,4.8230944,5.0333443,4.5577707,6.1923537,4.483528,4.061634,3.9813251,4.321629,5.404785,5.9643755,3.7809515,4.5571322,4.8044643,5.11165,5.700809,4.85978,6.386694,4.063717,5.8724866
10.563886,9.759313,8.821009,7.1541243,9.907069,4.348863,8.927049,5.09583,6.893138,5.9708304,5.326019,7.3039417,6.5114655,4.7425103,5.668076,5.4729877,7.0630035,6.4839916,7.4146843,6.4762583,4.8929267,5.779126,4.5866804,5.026102,5.3414555,5.394681,4.2785487,5.8555913,3.8363974,5.9070997,4.184187,3.1966157,6.4803176,6.1356525,2.6134236,4.0377007,5.2515163,5.3224883,5.8972454,4.1375833,5.6884546,3.6827025,5.2643876,4.624028,4.57317,4.576769,6.071677,5.0593777,6.228295,4.9382434,4.2391577,4.4564075,3.5868402,6.19656,5.959204,5.2811866,6.201562,5.9431624,3.703111,4.4316273,5.0411234,4.4164605,6.450551,7.1466494,5.9112344,5.636718,4.920852,2.9995627,6.3655157,4.906164,4.9927893,5.9677186,3.80676,4.457855,5.111558,3.8720725,4.988422,5.3206453,4.721122,5.6782236,4.62414,4.666794,4.8608675,4.754414,5.9455194,4.4152346,4.050114,4.047937,4.4427414,5.446724,6.0467477,3.81037,4.556571,4.5763006,5.222439,5.619215,5.1038256,6.360263,4.2151594,5.8750653
9.773614,9.68514,8.404968,6.9783535,11.433442,4.925488,8.655023,4.923111,7.068429,6.2195854,5.806617,7.2340317,6.227513,4.8936644,4.873633,5.024395,6.8703685,6.76378,7.4015017,6.6217937,5.0919366,5.624702,4.710165,4.3700066,5.368029,5.840685,4.3158746,5.91703,3.7730975,6.2629333,3.916532,2.7066255,6.2924595,6.129721,2.7943492,3.9636943,5.126199,5.2103195,5.7234893,4.260463,5.82331,3.848276,5.698319,4.606262,4.254387,3.8056967,5.9967785,4.578072,5.83281,5.0034127,4.2654314,4.689196,3.2807121,6.2369947,6.1034675,5.1620297,6.599183,6.5745845,3.8044202,3.9550798,5.454093,4.6934614,6.4997673,6.8228245,6.3567777,5.7201347,4.9874544,2.7527945,6.444179,5.1667247,5.072826,5.90165,3.744389,4.188147,5.1254416,3.492199,4.8677826,5.5897164,4.3594418,5.451461,4.776511,4.5539045,4.9077177,4.583416,6.38828,3.708293,3.8444312,3.757539,4.5412703,5.4517493,5.868421,3.880904,4.1663184,4.772098,5.1518745,5.443163,4.7556605,6.4215317,4.116667,5.9050794
10.323217,8.727124,8.781124,6.706052,10.618056,4.534234,9.311571,5.07693,6.993466,6.1551485,5.5600905,7.5689,6.356786,4.969196,4.922974,5.139306,7.143742,6.5383663,7.465307,6.95878,5.030949,5.619141,4.3865237,4.885659,5.63761,5.7658486,3.8471198,5.7097344,3.881459,6.4469995,3.8650594,3.4070332,6.0758743,6.0832458,2.5811203,3.8806503,4.9124994,5.172791,6.1118126,4.5018754,5.3558793,3.8119578,5.606509,4.4084225,4.7073417,4.3245335,5.9485946,4.6449585,6.2617316,5.2844977,3.943736,4.496627,2.9512784,6.135633,6.2646556,5.0287504,6.3262587,5.849148,4.0850115,4.1114416,4.942339,4.436626,6.541499,7.073196,6.101504,5.9918203,4.9611883,2.5430121,6.5676756,5.241981,5.036395,5.932144,3.6718483,4.014744,5.098701,3.6848636,4.7972775,5.6851153,4.397565,6.142032,4.8128467,4.974213,5.2334642,4.5143914,6.45132,4.4470873,4.1025467,3.9663587,4.35872,5.245038,6.143697,3.6182334,4.5291643,4.9084578,5.061229,5.810838,4.726403,6.5278153,3.8853226,6.002275
10.147129,9.551138,8.809044,7.1824217,10.4738245,4.595435,8.733617,5.0407596,6.875113,6.0774646,5.563353,7.2980995,6.261309,4.8294635,5.618575,5.32105,6.923651,6.5550103,7.4192834,6.533235,4.9676943,5.676041,4.7655907,4.830392,5.290619,5.535833,4.217426,5.912577,3.7345107,6.051639,4.2012067,3.0084598,6.2926836,6.217491,2.8158915,4.0089693,5.1849422,5.2193813,5.8277574,4.082307,5.687492,3.705012,5.3597136,4.7042994,4.4056463,4.181249,6.0689597,4.894664,6.1276703,4.8790007,4.1936965,4.631984,3.567665,6.229576,5.9583025,5.2943,6.5436034,6.1854568,3.700924,4.3610773,5.434839,4.6091714,6.5662637,7.1229243,6.16689,5.8416944,4.976371,2.866401,6.3784637,4.9107604,5.034753,5.8683643,3.8085122,4.3722563,5.128629,3.6894393,4.879017,5.2983723,4.66754,5.6547246,4.7185187,4.424345,4.8102655,4.624034,6.0727153,4.1520677,3.8646548,4.0745053,4.505265,5.490377,6.155021,3.6923082,4.3703938,4.657292,5.240923,5.5354,5.08674,6.3609376,3.9754052,5.950289
