UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50
8.214017,7.010409,5.4088745,5.251866,7.76694,1.9268396,4.1574826,8.064198,5.9250565,7.5804195,4.091432,8.9840145,5.060965,5.8877964,7.291062,5.7203574,5.719313,6.317065,8.252702,4.413074,2.7125726,4.629367,4.205563,3.6011481,6.6188383,6.471013,6.647311,6.213106,3.8387325,5.3282313,6.5509644,6.574577,4.308462,4.781759,1.1739444,4.5351014,7.788261,5.376834,4.6035757,4.8442698,4.2432303,3.3659816,5.8660917,2.9681826,6.353493,1.5709318,7.304726,4.911299,3.771826,5.1619453
8.083509,6.512927,5.3311396,5.591219,8.103677,1.8582569,3.8576934,7.940383,6.0708213,7.64795,3.3933744,8.552776,4.8138285,5.8469567,7.5985937,5.5069356,5.9125876,5.6821146,8.518463,4.863591,3.378811,4.9739943,4.2884655,3.5008702,6.464553,6.7687893,6.682034,5.8498263,4.0015225,4.7933455,6.522938,6.7650347,4.297227,4.836136,1.2922487,4.424638,7.996621,5.206662,4.819026,4.8603697,4.579667,3.352859,6.282002,3.1398032,6.304218,1.6567485,7.0299163,5.0123954,3.880672,5.091894
8.083259,7.3075213,5.591297,5.210884,7.6473093,1.9071879,4.080381,7.6699066,5.994461,7.288537,4.023284,8.615232,5.266921,5.903942,7.507697,5.4303355,5.801426,6.0942764,7.92622,4.828169,3.073564,4.7506456,4.2668786,3.502284,6.588679,6.779378,6.341461,5.893633,3.7478833,4.950137,6.2931633,6.7553835,4.6148686,4.9507155,1.4141762,4.2443066,7.601907,5.244591,4.5186057,5.15249,4.309309,3.483202,5.623192,2.9334004,5.874198,1.8189682,7.478868,4.647199,4.235582,4.896937
7.572111,7.024047,5.3965964,5.4234667,7.918971,2.3131669,3.7240574,7.8242464,6.2226973,7.1200795,4.2770076,9.030855,4.8788958,5.7804155,7.4325557,5.678222,5.9119587,6.161411,7.5474935,4.7041965,2.6224184,4.726513,4.166369,3.7871718,5.984515,6.408553,6.57042,5.8931127,4.4651704,5.4399076,6.5009856,6.4007864,4.3505235,4.9396944,1.4941033,4.7164288,7.537022,5.2455053,4.8283753,4.392199,4.1321397,3.470208,5.9399643,2.974558,6.1442423,1.6920165,7.1641774,4.313441,3.780873,5.471321
7.8282766,7.306665,5.569478,5.380166,7.6214614,1.7600098,4.1604404,7.7358007,5.914227,7.3128242,4.0203934,8.814836,5.417504,5.9840975,7.369913,5.572318,5.664524,6.257683,7.9875236,4.605997,3.0153258,4.781853,4.367362,3.5315397,6.6519494,6.6483355,6.3760586,5.838686,3.7192202,5.0558724,6.2608175,6.791038,4.53163,4.823348,1.4433825,4.336101,7.5719748,5.1881638,4.4786935,5.2722425,4.207586,3.4782414,5.6211276,2.9296815,5.9509854,1.7172256,7.5651436,4.669592,4.065116,4.87458
7.550208,7.04593,5.4814143,5.703018,7.634069,1.687389,4.1167765,7.8096595,5.9544144,7.3611264,3.9628408,8.912099,5.437787,6.1209,7.252152,5.7828784,5.484865,6.2416124,8.083981,4.467739,3.0530562,4.9055357,4.4998507,3.4447496,6.589488,6.451818,6.532689,5.6712165,3.8243423,5.1735544,6.22146,6.7686043,4.3589935,4.6912036,1.5585058,4.4062486,7.525269,5.129473,4.5093775,5.223029,4.1618285,3.5142486,5.7827005,2.9252317,6.114309,1.607458,7.568096,4.7195697,3.8157384,4.9442635
8.625674,7.317435,5.4536977,4.8774476,7.5029087,1.9764111,4.2688746,7.9076514,5.915282,7.3919477,4.4420953,8.830763,5.1914697,5.9201055,7.3500247,5.5413666,5.7685246,6.3760405,8.01635,4.5014763,2.614956,4.5023885,4.081282,3.4782968,6.774102,6.6403723,6.4419055,6.3950176,3.6193974,5.2565246,6.449997,6.539942,4.546599,5.004988,1.1135372,4.307258,7.650711,5.5191584,4.4416,4.977565,4.2597833,3.5337129,5.497967,2.7272823,6.095295,1.714795,7.4702287,4.8212576,4.144944,5.0491557
8.33991,6.6221266,5.5017376,5.425434,7.727046,2.220303,3.7892938,7.6584296,6.549407,7.4717836,3.8105633,7.8207536,4.6679106,6.074161,7.673117,5.5104,5.734297,5.3954453,8.0632305,5.304331,3.4224405,5.006551,4.3250685,3.0082405,6.294491,6.7140255,6.7424583,5.6711287,3.9961693,4.8256364,6.2811427,6.642596,4.4945445,4.9793596,1.6390351,3.8993874,7.668338,5.3440733,4.660908,4.613329,4.6160254,3.609723,6.0044937,2.9011304,6.1008615,1.9226964,7.264015,4.904874,4.295594,5.074336
7.1699686,6.7613044,5.171754,5.805928,8.098202,2.2495644,3.6711798,7.839959,6.141603,7.0083823,4.172532,9.317725,5.038449,5.893005,7.314097,5.8294835,5.814288,6.170746,7.5907955,4.6110325,2.691192,4.8421593,4.3472614,3.8152013,5.8266845,6.304976,6.632297,5.669125,4.5449786,5.4900084,6.4209495,6.4389615,4.211357,4.866518,1.5828326,4.8754606,7.461347,5.056521,4.8470516,4.4543433,4.058851,3.4773662,6.1265006,3.0786936,6.204275,1.6061107,7.118092,4.285867,3.5405416,5.4739246
8.599736,7.0440793,5.5242953,5.1224623,7.579604,2.0645423,4.144201,7.8359814,6.1443644,7.592173,4.1617837,8.387663,4.9555497,5.9603734,7.434979,5.589865,5.730889,6.091497,8.105622,4.749778,2.8522415,4.6127224,4.1687574,3.325361,6.6393895,6.576447,6.7107086,6.153882,3.760319,5.151444,6.410898,6.622158,4.506656,4.9088697,1.3403975,4.1630816,7.6593513,5.475613,4.4592767,4.727439,4.340909,3.4639142,5.7339587,2.8577278,6.2153525,1.7545154,7.41303,5.001953,4.1265254,5.10071
