UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50
10.610983,8.893035,3.8258595,10.393222,8.717338,1.3728883,7.8856454,5.685995,6.0859704,4.1736836,7.795525,2.8242729,7.4649296,4.9487686,5.5294504,7.7855606,2.6365354,2.9761777,9.529752,4.792408,6.226663,4.360319,4.19406,4.288571,5.297554,7.1050286,5.608463,5.8547616,7.2504935,8.734885,5.561311,3.7797923,0.6016035,4.3839054,3.07167,5.1663523,5.129436,5.810825,4.277616,7.732246,5.5376353,5.9068165,3.3802629,5.2079177,4.6222086,5.6934643,3.7934508,4.7793384,4.7226453,1.3931808
10.9346285,9.35782,3.9312763,10.433335,8.597416,0.7767412,7.4299245,5.750261,6.516762,4.7663527,7.90506,3.100475,7.8445535,4.818392,5.692182,7.0575614,2.483635,3.2615457,9.644156,4.7836127,6.3085847,3.9902918,4.228579,4.688319,5.130798,7.588809,5.4106474,6.0326953,7.782726,8.634836,5.5658813,3.8071423,0.40322086,4.834783,3.1536734,4.869743,5.3057704,4.990144,3.800809,7.5893917,5.6971674,5.5554166,3.3159626,5.0466194,4.8999233,5.409545,3.8008766,4.8329153,5.076141,1.0988489
10.515085,9.268749,4.137394,10.000997,8.50912,1.5141807,7.612035,5.6706514,6.5974274,4.641029,7.4388585,3.2326887,7.655988,4.72796,5.647072,7.422649,2.611504,3.3025467,9.164163,4.874882,6.1632366,4.166851,4.4609075,4.5954366,5.3696938,7.140197,5.6204658,6.0214634,7.2288256,8.325013,5.6203556,3.5206954,0.6800387,4.582988,2.8251479,5.464984,5.0520926,5.4282346,4.0218725,7.2145815,5.7001004,5.7361364,3.5532794,5.0209093,4.8505015,5.6493387,3.734006,4.5955796,4.570533,2.0564415
10.850344,9.307472,4.2453346,10.088486,8.690264,1.1934439,7.4084563,5.7025146,6.492768,4.415694,7.8108907,2.8931804,7.6901956,4.7949166,5.6586256,7.4723854,2.6152518,3.200803,9.3584385,4.8836856,6.122367,4.183986,4.1940193,4.5326285,5.25046,7.2371244,5.551524,5.932929,7.348317,8.600643,5.5848675,3.693948,0.5908154,4.4327984,2.9346662,5.3156424,5.2392974,5.365981,4.038573,7.6580033,5.5751576,5.8191605,3.4697886,5.0720873,4.718173,5.5573897,3.8147874,4.8107758,4.750663,1.5979263
10.5249605,9.080678,3.9301648,10.086826,8.44146,1.4801068,7.862811,5.731507,6.435928,4.587997,7.4095035,3.158979,7.5386424,4.7821946,5.6005826,7.478588,2.5989468,3.2221932,9.24643,4.8833723,6.2667994,4.1850934,4.505201,4.45296,5.3781667,7.1823654,5.570493,5.943293,7.2987523,8.373336,5.627179,3.5676107,0.598802,4.5556383,2.8873823,5.43047,5.0445986,5.621238,3.9733355,7.1695085,5.737189,5.7346168,3.4665687,5.018962,4.809787,5.667404,3.786711,4.6209707,4.536059,1.8520579
10.649247,8.840633,4.094017,9.883096,8.068795,1.3401132,7.901642,5.897419,5.9842615,4.7068944,7.3909807,3.0081093,7.1403556,4.7068367,5.474787,7.4555106,2.826155,2.8579934,9.059155,4.824685,6.2499456,4.140968,4.3906655,4.0292645,5.2905216,7.0663815,5.307116,5.56869,7.5089016,8.342129,5.7744284,3.851325,0.60022104,4.1298437,3.1709747,5.4041514,4.97529,5.7328286,3.8841503,7.438285,5.8339906,5.905016,3.3989236,4.987089,4.732269,5.5426874,4.0799966,4.828376,4.491457,1.4110721
10.3316965,8.974305,4.2359753,9.849219,8.758637,1.882581,7.712492,5.605401,6.2598248,4.177145,7.574486,3.0017173,7.452086,4.8120623,5.592902,7.9513493,2.8356645,3.0890763,9.088981,4.857142,5.969565,4.4391494,4.2260756,4.370524,5.316136,6.7749863,5.7442193,5.903501,6.721798,8.48608,5.5092483,3.5379307,0.93224853,4.202298,2.8173282,5.6813035,4.997182,5.8796697,4.556209,7.556673,5.430809,6.077503,3.6907327,5.250744,4.575017,5.7416844,3.7203443,4.705094,4.5032725,2.3735366
10.901546,9.495978,4.6307583,9.971713,8.736275,1.000299,6.7186747,5.724839,6.6976686,4.695263,8.0776005,3.0123608,7.9411445,4.726089,5.7668557,7.2047305,2.657912,3.235858,9.366357,4.8506813,6.036764,4.005475,3.9493356,4.7841063,4.997202,7.3738437,5.420816,6.02367,7.396521,8.610098,5.479346,3.713259,0.6753937,4.5243645,3.0034876,5.1690073,5.311472,4.7556267,4.000533,8.005735,5.427497,5.7392225,3.5379965,5.0719433,4.7821207,5.385844,3.7793741,5.008825,4.993141,1.8465848
10.938616,8.812914,4.1271677,10.075606,8.07828,0.89558005,7.7315454,5.965017,5.724122,4.694183,7.726734,2.7943377,7.089282,4.760916,5.4195905,7.3604045,2.848435,2.6099193,9.263546,4.7418222,6.2771673,4.1051736,4.1341443,3.8711562,5.1490927,7.202532,5.126541,5.417131,7.863539,8.57798,5.7971725,4.1534276,0.48748404,4.0162644,3.4841735,5.042007,5.102635,5.5583196,3.8321173,7.9022417,5.8075957,5.940522,3.249443,5.0300965,4.6771307,5.4014006,4.223315,5.029076,4.7651267,0.65472376
10.540792,9.060863,4.091943,10.201092,8.821658,1.5169848,7.571714,5.622598,6.3480353,4.237272,7.8265495,2.9312835,7.6451654,4.877577,5.634974,7.747126,2.6767504,3.148001,9.41449,4.8163223,6.08388,4.320674,4.139689,4.5378113,5.239915,7.0414047,5.6868696,5.987794,7.011425,8.654791,5.493951,3.6339362,0.74166226,4.432526,2.9230027,5.3135023,5.128906,5.59321,4.3767195,7.7610135,5.4324193,5.9097843,3.535272,5.219113,4.6487303,5.672905,3.693465,4.7927537,4.731293,1.8826629
11.007994,8.886135,4.0468507,10.20118,8.076282,0.74281126,7.7279944,5.9445906,5.7240324,4.8277073,7.7641187,2.8734846,7.1389704,4.782401,5.4209423,7.1937904,2.8085604,2.6367636,9.362421,4.6541715,6.316026,4.0441737,4.1564546,3.9481761,5.137911,7.293893,5.108847,5.460539,8.039881,8.5869465,5.8192606,4.230645,0.39534387,4.1504745,3.613009,4.8483763,5.115681,5.417541,3.7835774,7.8881345,5.8784394,5.8585773,3.1788108,5.0268903,4.766729,5.3530483,4.22565,5.016617,4.9051986,0.40520835
