UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
1.6646764,9.389172,10.615138,-2.9105608,-0.8055889,3.1949687,1.8713702,3.7458155,-2.5051696,11.506729
-0.2892221,8.3764715,10.450422,-2.386907,0.029018246,3.3408399,2.23332,3.7870195,-2.598454,10.609025
0.61439395,8.361665,10.406091,-2.042806,0.32643726,3.3302348,2.3942916,3.7966223,-2.3683023,10.735671
0.55097365,8.147358,10.70962,-2.2789395,1.0384065,2.6866524,2.1519465,3.469179,-2.372375,10.562507
11.35751,14.00516,-0.9858285,10.727479,-1.3508584,8.351948,4.3176827,3.9314115,6.202789,7.2734604
11.050464,13.954918,-0.6021975,10.563247,-1.311185,8.220133,4.026641,4.286759,5.835907,7.5572643
-0.25159281,8.3579645,10.636099,-2.6379874,0.13265854,3.1504862,2.09949,3.730777,-2.6135354,10.582373
11.291202,12.733756,-0.52411187,9.26249,-1.3090346,8.932586,5.0466027,4.1673427,5.772717,7.9729195
-0.12689283,9.030489,11.564876,-3.5997899,0.47927845,2.338511,1.4865439,3.3090587,-2.6851413,10.894082
11.383171,13.4115095,-0.42856655,9.908526,-1.4214288,8.903648,4.751627,3.7059257,6.2058263,7.6747127
10.891443,14.022395,-0.06677799,11.10204,-1.4474188,8.6793995,3.7300985,4.790318,5.5191402,7.939332
0.30650616,8.731354,11.435723,-3.5793455,0.124040976,2.7728114,1.689708,3.3875399,-2.8117502,10.624849
11.551985,13.394424,-0.8344273,10.169014,-0.8988766,8.534018,4.3000984,3.8121862,6.299549,7.472736
0.5029743,8.101987,10.648219,-2.0966835,1.0791675,2.7097166,2.2222235,3.5078661,-2.3340936,10.592582
0.9056277,8.669576,11.081735,-2.9022913,-0.05660702,3.1726925,2.02437,3.5046194,-2.9156055,10.669762
10.520977,13.723171,-0.050811365,11.023837,-1.9311485,8.754615,4.1879735,4.7955503,5.3091793,8.359742
1.0641583,9.354994,10.734066,-2.7589865,-0.77109814,3.3119872,1.9645307,3.8500743,-2.5664082,11.529357
1.0513121,9.178834,10.631728,-3.2738008,0.0014092706,2.5538368,1.5162382,3.396459,-2.3169954,11.011167
10.9435625,13.788612,-0.52835155,10.810478,-1.4863399,8.506264,4.237706,4.725859,5.6682916,8.090175
10.846186,13.923835,-0.27317306,9.967693,-1.7529254,8.341539,4.735294,4.896876,5.564497,7.9603395
0.82743275,8.130206,11.28843,-2.968958,-0.04413787,3.406785,2.2886841,3.7252297,-3.0200996,10.4358835
0.7708398,9.612296,10.974091,-3.26829,-0.3168439,2.645155,1.4987634,3.530607,-2.4692383,11.4939165
11.145717,13.915127,-0.831145,10.740973,-1.6399664,8.508489,4.3580375,3.8163846,6.027861,7.3590117
0.36637208,9.023124,10.40634,-3.1851015,1.0262614,1.9496827,1.3189306,3.1370842,-1.9471445,10.628786
-0.4265333,9.0486355,11.425599,-3.4162395,0.5330657,2.3574603,1.5545931,3.3627613,-2.6485243,10.925381
11.325901,14.1477785,-1.0692878,10.790041,-1.5752616,8.414572,4.478815,3.8743796,6.1841536,7.146049
1.3922293,8.692688,10.939741,-2.7815692,-0.24170144,3.2842133,2.1184964,3.6277478,-2.8289442,10.872472
-0.08656843,9.473162,11.238974,-3.7822425,0.5460315,1.8904561,1.0942773,3.132044,-2.3522482,11.096782
1.0270691,8.380654,10.832038,-2.9666984,0.78718156,2.6314259,1.8873163,3.3415456,-2.4843316,10.4741
10.568367,13.718035,-0.10038612,10.936984,-1.9002038,8.763205,4.2482176,4.8393574,5.3254843,8.366045
10.575463,13.693473,0.034376506,10.632727,-2.1464055,8.9269495,4.343085,4.5043726,5.295887,8.23121
0.6572158,8.694877,10.723947,-2.4496036,-0.25084722,3.48018,2.2651324,3.7655613,-2.7423646,10.893503
11.533745,13.904152,-0.8836402,10.658305,-1.167985,8.746739,4.0997453,3.6219034,6.3195405,7.219312
11.178188,14.486495,-0.5801029,11.071014,-1.779087,8.9230175,4.2183886,4.074604,5.894695,7.272973
0.6366972,8.282628,10.32495,-2.003171,0.7386554,3.0092385,2.2913692,3.645013,-2.2676983,10.681329
11.024077,14.616762,-0.28159606,11.211846,-1.9105405,9.252584,3.9797227,4.253964,5.6225286,7.4190917
11.187248,14.175199,-0.98317045,10.94071,-1.5122322,8.373812,4.1173267,3.9300306,5.993965,7.1973615
11.277768,13.725679,-0.59519833,10.289738,-1.4216145,8.380888,4.6412835,3.767685,6.3501167,7.615468
11.655809,13.448311,-0.89677125,10.10582,-0.7151041,8.633572,4.3740897,3.9647415,6.343857,7.3579226
10.991639,13.864728,-0.44376126,10.225164,-1.5134399,8.162264,4.668608,4.164767,6.0797944,7.7106557
10.581743,13.780993,-0.10246906,10.908867,-1.9269143,8.815616,4.0865984,4.9794803,5.1404195,8.297319
0.14171384,9.223508,11.247382,-3.2630582,-0.18695313,2.886883,1.6901758,3.5481465,-2.6623476,11.1516485
0.104559064,8.884523,11.36054,-3.5890253,0.2978811,2.5439959,1.5560322,3.3239176,-2.6647465,10.715003
1.0011556,9.873781,10.849683,-3.4071953,-0.4093668,2.4507992,1.3131282,3.464856,-2.349072,11.6348915
0.44072545,9.143806,11.234286,-3.1769454,0.1689751,2.6306572,1.6557728,3.494342,-2.5695257,11.177139
-0.3522212,9.349361,11.438285,-3.4203517,0.3722232,2.3531096,1.4447645,3.371635,-2.579137,11.1924925
1.1038486,8.555714,11.073773,-2.9506903,-0.5250603,3.525964,2.2241366,3.8170497,-2.8806818,10.834138
10.749968,13.605489,-0.7401305,10.640208,-1.8409535,8.304143,4.4513726,4.1870875,5.643308,7.8532276
10.490036,13.546007,-0.15494652,10.697217,-1.9069786,8.810199,4.0007887,5.186554,4.7176585,8.34925
0.54074806,8.18562,10.731732,-2.2614632,1.0337002,2.664449,2.1439571,3.4801943,-2.3617544,10.609465
10.704451,14.303721,-0.22476105,11.33852,-1.9834638,8.574537,3.7979171,4.429577,5.550754,8.017206
10.797647,13.523636,-0.38590026,10.665249,-1.406816,8.384038,4.140559,4.821155,5.4432397,8.0733
-0.3959966,8.458802,10.75523,-2.8127003,0.08390202,3.1099076,2.0174673,3.674001,-2.6610749,10.600237
12.109054,13.729005,-1.057621,10.365105,0.03634777,8.956013,3.8829,4.0165257,6.597683,6.792794
10.866623,13.858649,-0.38651186,10.152207,-1.817072,8.556389,4.8657994,4.097043,5.872921,7.685003
-0.34781677,9.10687,11.380935,-3.1088097,0.3800678,2.6346788,1.737681,3.5142226,-2.6188462,11.135684
10.625573,13.775003,-0.10836817,10.671134,-1.6891859,8.735136,4.0382266,4.905904,5.086472,8.037823
0.7219265,9.53632,10.927978,-3.1129935,-0.32469898,2.7770598,1.6138313,3.5873795,-2.4900408,11.476756
10.862247,13.821613,-0.360277,10.865006,-1.3418539,8.445953,3.8358138,4.9129925,5.386366,7.8395734
-0.31149048,9.520593,11.335539,-3.767265,0.5239102,1.9050076,1.0911303,3.1508074,-2.37827,11.155966
10.727021,13.699431,-0.30172855,10.248056,-1.911758,8.527003,4.768629,3.998426,5.784287,7.7494698
1.3401176,8.601233,11.023149,-2.9398153,-0.41576207,3.396056,2.1641767,3.725795,-2.8385363,10.843362
0.2796197,8.992691,11.033587,-2.6538055,-0.37726614,3.4023714,2.158379,3.854344,-2.704266,11.267975
10.957655,13.499962,-0.548241,10.560626,-1.4242643,8.549918,4.35609,4.7269316,5.6003833,8.168079
0.7121096,8.452717,11.775894,-4.010125,0.20503706,2.6709576,1.6303005,3.2954936,-3.006711,10.338149
0.38819113,8.8997135,11.294049,-2.8107204,-0.49354577,3.48844,2.2063687,3.9117646,-2.8611836,11.284073
11.855168,13.493367,-0.9569767,10.249735,-0.35097483,8.704281,4.0093026,3.8848374,6.4710536,7.05674
0.9191455,9.823827,10.894853,-3.3850234,-0.39961088,2.4982595,1.3488286,3.4873624,-2.3830638,11.614465
12.209914,13.656785,-1.0273106,10.34208,0.22290766,8.992422,3.7898223,3.9840279,6.634258,6.6671515
0.84986115,8.689879,11.210919,-3.507441,-0.046188917,2.8764582,1.7458808,3.395847,-2.817895,10.562969
0.9264691,8.824722,10.705906,-2.3183053,-0.056564122,3.2830532,2.165778,3.6378284,-2.7425401,11.000368
10.808614,13.981819,-0.75432235,11.160261,-2.0103288,8.498396,3.9714253,4.2717195,5.5277395,7.82647
1.7048345,9.415379,10.577335,-2.9375203,-0.8541338,3.2093997,1.8783967,3.7691548,-2.4919915,11.540707
11.040607,13.994073,-0.40604553,10.798074,-1.523552,8.408314,4.2948933,3.908473,6.094887,7.5533886
1.115485,8.771942,10.82671,-2.6073542,-0.48504364,3.5596025,2.3128157,3.8935351,-2.73129,11.185322
10.480055,13.736484,-0.19925915,10.72022,-2.2388253,8.814919,4.303469,4.795275,5.0404453,8.136308
0.9999594,8.312155,11.6460705,-3.587096,-0.16409834,3.1880913,2.0237892,3.5630076,-3.111206,10.4535475
11.33176,13.5832205,-0.7896604,10.493234,-1.0519556,8.385241,4.0579357,3.9577553,6.0381174,7.361462
1.2454596,9.668305,10.752269,-3.2844858,-0.52598894,2.6794045,1.4742329,3.5375156,-2.3886926,11.534283
