UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
5.9204288,9.378651,7.3059783,6.8295894,3.066161,9.642497,9.908444,-2.4688938,-1.7636858,-3.2691193
6.145751,8.58913,7.3583956,6.467442,3.3230731,10.637809,10.557868,-1.6641096,-2.778463,-3.1037533
5.536466,8.540975,6.9092245,7.4568424,3.4593852,9.9840765,9.683625,-1.5180256,-2.2379003,-2.469396
5.584547,8.710745,7.4393687,7.098285,3.0985932,10.3044815,9.702682,-1.7992837,-2.3850489,-3.280764
5.560878,8.992638,6.9573846,7.2590137,3.519935,9.891421,9.759746,-1.5496136,-1.9511857,-2.3323214
5.8317423,8.682845,7.5723414,6.8022633,3.631066,10.232747,9.373447,-2.2705514,-1.3724818,-2.5099745
5.8783984,9.460988,7.259646,7.0817285,2.934445,9.579237,9.426997,-2.2767465,-1.5923979,-3.225831
5.7486086,7.638845,7.204934,7.1170354,2.9420595,10.182353,9.793769,-1.8793149,-2.9946146,-3.3077848
6.353711,8.509761,8.252041,6.2370415,3.3937972,10.577949,9.547764,-3.0531924,-1.466789,-3.4630578
5.6016846,8.63221,6.865097,7.229011,2.9569407,9.576874,9.824472,-1.9892459,-2.3638203,-3.002034
6.786812,8.426457,8.278842,6.1096015,3.4165366,10.798404,9.816358,-3.060708,-1.571142,-3.4137802
6.1611357,8.781164,7.4622283,6.352097,2.815909,10.090104,10.244407,-2.847512,-2.168125,-3.590718
5.4050083,8.343745,6.8664446,7.5751963,3.2011447,9.641639,9.484555,-1.6005874,-2.3564224,-2.6854217
6.12903,8.299446,7.956541,6.5932326,2.9404426,10.9822235,9.787572,-2.648279,-2.401968,-4.228211
5.5758057,8.416419,7.7961273,6.618082,3.6354232,10.090324,9.110036,-2.2734601,-1.3744044,-2.562008
6.5688977,7.9730897,8.17009,5.69446,3.2100158,10.955157,10.321615,-2.7569313,-2.447667,-3.6356394
6.8618836,9.062678,7.9343605,6.423617,3.5368478,10.148019,9.814114,-2.1089182,-1.3795164,-2.4124112
6.310342,8.3675375,7.5030375,6.350439,3.316965,10.896632,10.5954485,-1.8985363,-2.7979503,-3.1821632
6.51793,8.398433,7.824037,6.7802787,3.387441,11.1145115,9.685297,-2.7762086,-1.7307451,-3.3819704
6.1692305,8.196127,7.710708,6.7045484,2.8047464,11.115126,9.885071,-2.1594748,-2.7024825,-4.1241384
5.6323886,8.885399,7.0518274,7.2082,3.6220016,9.942497,9.832403,-1.4320014,-2.0737796,-2.326209
6.7628617,8.381895,8.139397,5.7566605,3.2806487,10.75222,10.357521,-2.6365573,-2.1656513,-3.346924
5.527883,9.387735,7.1425805,6.963199,3.3244233,10.027936,9.906512,-2.1521544,-1.8288647,-2.9139955
5.90813,8.143943,7.7809052,6.7889714,2.7945764,10.576703,9.500974,-2.5051427,-2.3082535,-3.8389533
6.457711,8.692075,7.792491,6.5595846,3.5584056,10.701565,9.7168665,-2.9370158,-1.3497307,-2.9352314
5.590241,9.162719,7.051936,7.2161117,3.6774993,10.06523,9.822299,-1.6451476,-1.8137435,-2.369249
5.5445995,9.4282055,7.5356326,6.723621,3.1329477,10.106715,9.858595,-2.2695844,-1.9398097,-3.525772
6.791356,8.173015,8.640654,5.882207,3.0155568,10.814013,9.775799,-3.0965645,-1.9194256,-4.0236325
6.6605997,8.100758,7.999361,5.7252016,3.0309403,10.961867,10.586633,-2.2500365,-2.7453203,-3.3674273
6.7059097,7.861859,8.207918,5.910703,3.2963023,10.950827,10.058126,-2.8812842,-2.1875849,-3.5620995
6.5023384,8.513223,8.15651,5.891951,3.0069005,10.626203,10.104594,-2.9533322,-2.045712,-3.7777019
5.7295227,8.229304,7.101329,6.913734,3.182938,10.356712,10.145792,-1.7805823,-2.7959816,-3.0749733
5.8781734,9.043095,7.0688086,7.129376,3.5382934,9.41589,9.68583,-1.7826833,-1.63704,-2.1575456
6.0120196,9.433719,7.505462,6.937514,3.6719196,10.015204,9.772082,-1.9740688,-1.4970586,-2.6195881
5.3597493,8.644686,7.059713,7.622203,3.0806632,9.600937,9.396958,-1.6438625,-2.245773,-2.9253805
6.9120455,9.028389,8.008374,6.3449016,3.4675639,10.252734,9.840905,-2.1097581,-1.4298867,-2.4864426
6.129746,9.190605,7.4973893,6.6514635,3.6583319,10.499662,9.915411,-2.1634889,-1.4609063,-2.4742436
5.361078,8.872203,7.172126,7.475875,3.1108117,9.6731615,9.475034,-1.7104741,-2.1868436,-3.07003
5.751055,8.266576,7.006356,7.4391336,3.4707632,9.846801,9.524894,-1.6808083,-2.1029446,-2.3364115
5.557333,8.870371,7.748705,6.89443,2.8422484,10.146718,9.635154,-2.2144175,-2.340212,-3.950514
6.636507,7.9320655,8.386923,6.131501,2.9977276,10.859838,9.944706,-2.498355,-2.4837012,-3.7777498
6.0567636,8.849801,7.933287,6.884556,3.0025034,10.128203,9.621072,-2.4346719,-2.0494385,-3.7824538
6.6437926,8.1494055,8.243557,6.25261,3.1378045,11.021212,9.720754,-2.7593534,-1.8857483,-3.3498292
6.7157435,8.245471,8.488595,5.7781725,2.9199808,10.787911,10.022695,-3.0162961,-2.162984,-4.0717044
5.7764506,8.302411,7.3812265,7.042936,3.29131,10.84883,9.760955,-2.5189087,-2.259025,-3.5792594
6.8469186,8.477733,8.419616,5.9878693,3.2555923,10.87692,9.855954,-3.0282536,-1.6588489,-3.5866876
6.7240505,7.9854674,7.456881,6.711517,3.902372,8.495657,9.69329,-1.6268121,-1.7398334,-1.2079426
5.5459285,8.617914,7.513019,6.2526665,3.168204,10.631402,10.301731,-2.2018368,-2.6134207,-3.4443245
6.2992992,7.777969,8.249411,5.976302,2.8922114,11.213249,10.119273,-2.65441,-2.755449,-3.9394946
6.2618327,8.002483,7.968206,6.2740836,3.3660388,11.328533,9.946324,-2.8760977,-2.136334,-3.4337323
6.64192,8.334052,8.352022,6.0714993,3.1779625,10.885444,9.6969385,-2.7242537,-1.7146796,-3.2486348
5.9202714,8.021451,7.698027,6.5723634,3.035929,11.187933,9.9017315,-2.5892463,-2.5629551,-3.9335163
6.2337203,8.819114,8.29421,6.6503725,3.339274,10.874571,9.440063,-2.4845476,-1.6645097,-3.7420077
6.766145,8.137809,7.309868,6.7896156,3.8677058,8.592761,9.720956,-1.5279852,-1.7127177,-1.3072195
5.950913,8.727103,7.8350797,6.796729,3.0153875,10.39107,9.949155,-1.6879475,-2.594298,-3.582637
5.4788055,8.203082,6.852154,7.5486,3.2283564,9.699135,9.532635,-1.632134,-2.4182816,-2.6405168
6.2239184,8.033818,8.05089,6.631955,3.0449924,11.073848,9.729407,-2.3788376,-2.459546,-3.7418346
6.472076,8.1824255,7.949158,6.357326,3.442847,11.164889,9.880981,-3.0110567,-1.8310678,-3.3147738
5.919537,8.301355,7.848832,6.1347494,3.2173312,11.131717,10.169994,-2.9698236,-2.3089788,-3.7908783
6.4346046,8.320215,8.23226,6.4637165,3.0135486,11.018852,9.703937,-2.7669752,-2.1810267,-4.2819576
5.9499598,9.03151,7.8611093,6.9560604,3.105641,10.061067,9.702124,-2.136293,-2.1470828,-3.7542305
6.0098033,8.396026,7.107219,7.16248,3.5332768,9.832686,9.577942,-1.7963663,-1.8261261,-2.0734942
6.0072455,9.10862,7.8987775,6.9673285,3.2438061,10.28587,9.712639,-1.9188353,-2.0174787,-3.4540892
6.0756454,7.9394917,7.486862,6.8562446,3.229943,10.925388,9.818058,-2.4049501,-2.3734891,-3.2843716
6.3862524,8.322063,7.9236307,6.1022725,2.924224,10.966945,10.367456,-1.9864374,-2.8402977,-3.7996469
6.1518335,9.012314,7.4645653,6.5812054,2.856974,9.8163595,10.043594,-2.7747264,-1.9416271,-3.5204196
6.1432986,8.370276,7.130894,7.116131,3.6988688,9.017311,9.657663,-1.6447031,-1.8776584,-1.7710791
6.139048,8.481286,8.214021,6.1756835,3.0450704,10.723396,9.80168,-3.1897686,-1.9969003,-4.147742
6.7245183,7.981087,7.4297147,6.7252965,3.9420097,8.488252,9.737884,-1.608333,-1.7463892,-1.1822085
5.989235,8.308646,7.6343994,5.903521,2.9356692,10.732226,10.659755,-2.112918,-3.0449564,-3.6452649
6.588725,8.189055,7.437533,6.780589,3.837934,8.895456,9.663411,-1.8170582,-1.7153313,-1.6015213
6.2616787,8.625994,8.004508,6.3694787,3.1229043,11.0215225,9.676423,-2.3154674,-1.8000796,-3.0080016
6.1071496,9.11428,7.2375255,6.5686545,2.8867307,9.508037,10.203684,-2.5513682,-1.9969645,-3.221465
5.5089364,9.456221,7.4076304,6.742642,3.142347,9.853613,9.920924,-2.3196838,-1.9505222,-3.4719477
5.479483,8.499357,6.9489584,7.4749103,3.4228349,10.06675,9.685934,-1.5056155,-2.3562753,-2.656677
6.2230077,8.130261,7.7263646,5.7622046,3.2879972,11.017502,10.653897,-2.4495294,-2.7052796,-3.3020487
5.778876,9.443143,7.3441844,6.7243385,3.1426914,9.945259,9.74553,-1.8120282,-1.8159863,-2.9585485
5.499288,8.595887,7.1827707,7.076057,3.5074894,9.948211,9.410038,-2.0020142,-1.7115955,-2.4348433
6.0271297,8.145005,7.6735682,5.733258,3.0693123,11.005427,10.733041,-2.3859715,-2.975371,-3.5772128
6.2872534,8.938401,7.6726747,6.6679077,3.7114773,10.688806,9.834916,-2.5853014,-1.4347545,-2.804313
