UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
4.1247296,5.864907,1.3536742,5.859377,6.19905,3.295755,6.404324,7.038655,2.825273,2.5188417
5.586722,5.4916773,1.7871665,-1.254995,4.3458014,6.0992436,8.1739235,7.08847,-0.7233841,7.0246797
8.25085,6.0302544,3.8877394,1.2074728,-1.3855258,6.8437757,6.6851444,5.3097587,4.869834,7.5738063
0.98831916,2.5750697,2.9880805,6.355128,6.4156685,1.6720687,5.780689,13.973843,4.719547,5.7491994
8.848636,3.5832138,4.281509,1.8049982,6.1565194,3.1560376,4.6368184,2.2389407,1.1509527,3.3968709
8.599166,3.167764,-1.0270281,6.3042035,3.0718462,5.9525437,-0.46439844,10.031507,6.196913,7.6605353
2.3580453,3.0304563,0.9094079,6.660473,5.7864957,0.050910987,3.3974345,3.5603898,-0.92729765,1.1408734
4.693388,9.170057,5.3010144,5.53904,7.3822246,0.43087998,10.837516,7.69316,2.8018134,9.381514
0.7953579,3.6372848,1.0386767,7.0056653,6.993436,0.42898494,3.3879042,3.025708,-0.6254782,2.4073792
4.341291,5.6085825,1.1296985,5.636199,6.3241315,3.315557,6.4905105,6.9560556,2.909757,2.7572522
1.2332212,3.7261584,2.8942554,5.6840544,-0.3071498,4.7580605,3.5448468,1.9417969,2.5527587,4.347552
4.0702004,6.070376,1.6263766,5.8444133,6.294215,3.301324,6.2773557,7.0460277,2.730424,2.679848
9.158507,10.381803,2.7629385,3.3312998,1.8630902,0.28315744,5.5089555,8.430214,4.7056293,5.400525
1.9853588,9.78267,4.90229,7.1729655,6.466859,3.6600087,0.1684843,7.4368877,5.4711885,6.770371
5.992264,3.8366506,2.2365956,4.715051,4.7710114,5.3991404,-0.61215603,11.993959,2.928384,10.838131
0.42120358,2.857779,7.094004,2.1551802,1.7301712,2.3630135,1.6845455,4.793777,5.176981,4.516578
7.4799147,0.09419792,5.4177136,4.401502,2.087552,5.4910197,7.4452424,5.266435,9.853553,3.8978608
5.6032133,5.508228,1.8037208,-1.2716433,4.362343,6.082739,8.157448,7.1049743,-0.7067835,7.041277
10.772182,2.443366,-0.29813284,4.081337,5.622757,1.1234316,2.5947986,7.1271386,4.4109225,8.329768
3.909101,10.162197,2.8734212,6.091846,7.0464907,11.684084,3.1760461,3.1613975,5.5360937,3.9676275
7.9962983,2.5292346,3.4215627,-2.2900364,6.55137,4.849627,5.7893515,3.4016082,0.07120053,5.255591
1.2784135,3.5289125,3.144983,6.021495,-0.42794365,4.7779055,3.5636933,1.7155505,2.865908,4.3624663
8.491861,4.620387,0.45102105,2.7153363,6.062857,1.7329628,1.8070737,5.361918,5.3396063,8.536591
-1.1556576,9.62155,0.12512311,10.063726,2.6750326,4.581548,3.6024387,1.3968925,4.8988214,4.834752
4.2673573,0.34675044,-0.27535096,6.8605704,4.256963,5.6985226,3.6651177,0.57471085,3.4456663,7.6371126
8.149435,5.569623,1.0506172,1.831713,6.666085,1.9298449,1.3913178,5.2214775,5.107948,8.137594
0.5362958,4.3926415,1.0483401,8.328197,7.43555,-0.06759706,2.105308,5.326707,5.9629354,9.188436
0.8460816,3.4907176,3.3036122,6.7390847,-0.08719289,4.67116,3.7544801,1.8941207,3.0285683,4.4222336
0.45835966,2.857309,7.054702,2.1623342,1.7701184,2.3930156,1.7237526,4.8273745,5.1384287,4.547788
1.2390205,3.705187,2.9190576,5.702744,-0.3212673,4.748826,3.5300984,1.9224623,2.5787668,4.3328524
0.829746,1.8049268,5.087115,-0.6033816,7.3820567,1.6998448,1.6720903,7.774141,3.349031,9.086173
5.5757885,5.477005,1.7719471,-1.2412193,4.330811,6.1104703,8.185534,7.0738606,-0.73531264,7.0103273
3.0315049,2.641146,0.12265806,6.6263075,5.3637395,-0.6513481,4.218453,3.245285,0.20147268,1.4221131
8.4907055,4.6381874,0.4454383,2.6972454,6.042886,1.7186278,1.7917302,5.3365273,5.379646,8.503068
9.116955,10.3387375,2.7375062,3.2932687,1.873824,0.32158178,5.5182805,8.387088,4.6678843,5.3994823
5.2479925,-1.4029485,3.841225,5.3779936,5.8087883,5.220389,7.307475,7.372151,6.317901,1.0862585
8.13585,5.3083053,0.801073,2.312639,6.3005323,1.7805169,1.629853,4.894615,5.740674,8.486248
8.982921,5.5566683,2.1058798,3.301972,7.7389264,4.2881474,5.754298,1.1679333,5.442887,0.78275645
8.221016,5.9998846,3.8567872,1.1750394,-1.3556364,6.8759427,6.654924,5.341606,4.9028387,7.5421214
3.696735,7.552633,1.0074521,6.1041536,11.334026,1.8814107,3.9281645,9.603726,5.6755714,2.7099562
