UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
5.7699013,6.427875,3.525417,4.6473827,5.8100715,8.226883,3.3634734,4.2489204,6.2762337,5.764197
6.0978303,6.5204186,3.9967504,4.6658535,5.446585,8.10207,3.8022637,4.620648,6.4705777,6.4060383
5.152214,7.490573,3.2711055,4.2046194,5.7997026,8.925082,2.5205684,6.098939,6.1122656,7.193009
5.782068,7.2527747,3.285646,5.176519,6.0030537,8.499924,2.9672153,4.5198865,5.708088,6.542347
6.0377345,6.645105,4.2428555,3.8724742,5.9463663,7.541014,3.7788358,6.2903037,7.4551096,6.1797214
5.806292,7.233629,3.3321338,5.090028,5.854393,8.929647,3.0045357,4.3043556,5.6658845,6.270383
5.5367346,6.9872136,4.2130795,3.6938686,5.8942637,7.8785768,3.396514,6.7941833,7.3432164,6.409917
5.74866,6.757684,4.1065845,3.8368852,5.498632,8.476361,3.3263862,6.0152564,6.7754254,6.7954087
5.144948,6.899365,3.4477153,3.7870994,5.7314935,8.435868,2.635841,6.2027454,6.480438,7.2391787
5.763348,6.7802663,3.4584005,4.816375,5.40341,7.770911,3.458102,4.8851094,6.5636487,6.499902
5.443186,7.5215073,3.3244476,4.424451,6.030954,8.649658,2.7400305,5.8210998,6.236793,6.774242
5.8758955,6.551981,3.598944,4.8262434,5.4314075,8.202715,3.601432,4.1832438,6.275186,6.242989
5.692028,7.141286,4.158329,3.7508318,5.9531684,8.198903,3.3764982,6.6349244,7.2081766,6.3080144
5.8146677,6.893314,4.084884,3.8509626,5.774021,7.5910225,3.6039736,6.5586996,7.453513,6.540357
6.0589437,6.348873,3.902782,5.280769,5.809881,8.129339,3.5062387,3.9231062,5.8512673,5.8539715
6.1724777,6.026556,4.4843707,4.5809083,5.558236,7.6157784,4.091478,4.914244,6.7246737,6.0528955
6.279864,5.954856,4.7541113,4.4953213,5.831203,7.467917,4.085752,5.1054873,6.747326,5.981611
6.0399976,6.5723085,3.5987115,4.497086,5.530459,7.970883,3.7486951,4.7022147,6.831019,5.9035807
5.6890974,7.4436793,3.1052444,4.9739995,5.9796176,8.565345,3.0085075,4.788524,6.1122746,6.1896195
5.729748,6.9518228,3.6137187,4.935353,5.7287083,8.8410015,3.0451205,4.43957,5.6721926,6.427643
5.564729,7.439415,3.2301722,4.5549803,6.4147663,8.423144,2.8292441,5.3908863,6.345353,6.045047
5.250422,7.1877313,3.9493024,4.069702,6.3080683,8.30331,2.8379648,6.2213917,6.544229,6.3309393
5.3136086,6.77041,3.5526001,4.397144,5.3532257,7.782323,3.1941319,5.3383555,6.764532,6.341668
5.2688723,7.0734153,3.9841156,3.2457082,5.742236,8.272781,2.9619336,6.9076247,7.3591995,6.4814215
5.8923535,6.423699,4.2774944,3.7681699,6.217041,7.4678345,3.5649896,6.221086,7.306741,6.0822577
5.432639,6.9750943,3.699808,3.815747,5.4638667,8.488625,2.9925985,6.1729836,6.7238503,7.067262
6.639203,6.1401186,4.7704964,6.174668,5.69239,9.209354,3.4936857,2.8446069,4.6541014,5.15206
5.2901225,7.233662,3.5852983,4.395323,5.8108892,8.241987,2.906426,5.890319,6.4399123,6.7641754
5.493891,7.0810614,3.8171642,3.7586095,5.5753984,8.472567,3.046535,6.297242,6.9083567,6.7591963
5.6482267,6.9521923,3.8794754,3.7657623,5.4505596,7.967093,3.361217,6.3939176,7.2787023,6.7252707
5.7524624,7.1650877,3.3079486,4.745784,5.438318,7.994256,3.4212809,5.310413,6.726429,6.532531
5.5815816,7.093033,3.9708736,4.073164,5.569999,8.672305,3.153481,5.905523,6.5582433,6.696767
6.3472047,6.29084,4.3920665,5.8552327,5.785314,9.076124,3.5040314,3.1995673,5.0245595,5.384917
6.677453,6.160066,4.7766194,6.1336627,5.706752,9.113949,3.4750547,2.9199839,4.6770587,5.1939516
5.780004,6.6253605,3.8477867,3.7669182,6.298371,8.203135,3.062269,5.438926,6.825543,5.6011286
6.0361648,6.8720174,3.6556258,5.157838,5.4206624,7.65626,3.590516,4.9634633,6.4892344,6.448257
5.1967425,6.5926437,4.1682963,3.9340563,5.7960296,7.511129,3.1604798,6.3305306,6.940446,6.703806
5.8716407,6.803069,3.6246498,5.0182986,5.3758245,7.7975345,3.4487393,4.8658137,6.3844175,6.521204
6.074549,6.5739264,3.6704948,4.419377,5.5782413,7.9345965,3.7798963,4.8331785,6.9207635,5.86743
5.3069253,6.29834,3.4758213,4.643943,5.5969105,7.606667,3.133705,4.8306394,6.369493,6.429734
5.457333,7.109903,3.789998,3.5237803,5.5421515,8.208285,3.1187782,6.605924,7.313815,6.6342077
6.4219856,6.1794357,4.5748453,6.052486,5.806896,9.195937,3.5265386,2.9841883,4.854091,5.2071667
6.258347,7.181915,3.7133923,4.2018104,5.5919123,7.8951993,3.844874,6.000888,7.4594307,6.1944656
5.780863,6.7108397,3.5880857,5.0406184,5.8389654,8.765661,3.1614435,4.002068,5.693001,5.9283195
5.821851,6.673471,3.4847217,5.0904317,6.0095897,7.3839216,3.2548156,4.7307234,6.2662373,6.3931293
5.2232957,6.2986183,3.6550515,4.185748,5.6662564,7.6891985,2.9894543,5.4821253,6.520839,6.7573123
5.9675183,6.458053,4.175306,4.1258383,6.388345,7.459277,3.6651018,5.727008,7.120481,5.7006884
5.80443,7.093303,4.0193048,3.3263083,5.929082,8.206835,3.4024076,6.8003635,7.636399,6.0682073
6.511272,6.261009,4.564686,6.0675316,5.771028,9.122957,3.5247579,2.992326,4.7924423,5.289565
5.9127426,6.4657245,3.7544973,5.04088,5.572967,8.388333,3.43741,4.1655517,5.9350734,6.068535
5.981419,7.0097046,4.035616,3.9512353,5.5198236,7.9478216,3.7166245,6.2548237,7.40131,6.349202
6.1950502,7.1762247,3.52811,4.62563,5.5023017,7.85117,3.8112853,5.506494,7.13653,6.2826853
5.722885,6.8857403,3.8748543,4.224349,5.374326,7.8533072,3.4310691,5.9305487,6.9684453,6.7646728
