UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,UMAP_51,UMAP_52,UMAP_53,UMAP_54,UMAP_55,UMAP_56,UMAP_57,UMAP_58,UMAP_59,UMAP_60,UMAP_61,UMAP_62,UMAP_63,UMAP_64,UMAP_65,UMAP_66,UMAP_67,UMAP_68,UMAP_69,UMAP_70,UMAP_71,UMAP_72,UMAP_73,UMAP_74,UMAP_75,UMAP_76,UMAP_77,UMAP_78,UMAP_79,UMAP_80,UMAP_81,UMAP_82,UMAP_83,UMAP_84,UMAP_85,UMAP_86,UMAP_87,UMAP_88,UMAP_89,UMAP_90,UMAP_91,UMAP_92,UMAP_93,UMAP_94,UMAP_95,UMAP_96,UMAP_97,UMAP_98,UMAP_99,UMAP_100
7.0306883,6.1055923,7.670091,5.9788775,4.7568684,8.503289,6.2691555,5.5163302,4.627923,5.014734,4.0957303,5.3927875,4.5264225,9.299178,6.0869527,5.726669,5.0086513,5.767802,5.609428,5.805691,3.920069,4.392921,3.692231,5.2676497,6.910045,4.313407,4.140568,4.3484454,4.346253,5.030182,4.8827605,4.151367,6.069683,5.241511,4.2881675,5.9130607,5.1948957,3.654181,5.2753415,4.8995886,5.0423546,6.0795693,6.1930294,3.6706264,6.645268,4.450392,6.191723,4.8775783,5.7149577,5.1488075,5.6123276,4.18623,5.95574,3.1685877,5.7993636,5.0255013,5.1546307,5.568796,3.0847354,4.2365465,3.4665194,5.5711465,5.4022837,4.7553744,4.42796,4.5278487,4.9768195,5.5578823,4.5148606,5.7290215,5.7977004,3.1346104,5.268212,6.400092,6.26587,5.0039,5.49719,6.7626987,4.6593704,3.9024198,5.2380123,5.0701118,4.263932,4.523286,5.547078,3.5652943,6.5144644,3.6704752,3.9791648,3.1014144,5.84963,4.6888757,5.6856213,4.229123,4.580598,4.7922063,5.1944757,4.8551817,4.2761903,4.2770867
7.21007,5.726235,7.5060472,6.2180033,4.4683437,8.618438,6.1233363,5.4155636,4.6069455,4.7314134,4.0373583,5.2313676,4.5531993,9.192414,6.022896,5.786431,4.994687,5.740077,5.5657625,5.8041496,3.8976328,4.345695,3.5868063,5.3828187,6.8760915,4.3691583,3.915692,4.346563,4.3075523,5.0035343,4.678969,4.1138043,6.1053157,5.203788,4.238684,5.8278484,5.195702,3.536799,5.2953157,4.831715,5.1823444,6.031593,6.156734,3.8146603,6.6597533,4.4262304,6.2238364,5.100198,5.8112783,5.072242,5.739441,4.0882483,5.8558183,3.0836945,5.7963285,5.1788106,5.167702,5.5110774,3.1714842,4.11371,3.3517048,5.5144625,5.3773513,4.7608075,4.537838,4.699491,4.9400587,5.5167074,4.3853903,5.7927833,6.007916,3.2954152,5.1385093,6.467951,6.3457294,5.056904,5.3314195,6.852869,4.8219976,3.8560162,5.2670245,5.0543656,4.1339064,4.366365,5.615682,3.618455,6.668547,3.6669931,4.008227,3.1832774,5.801247,4.6439238,5.6324496,4.24409,4.6215734,4.880393,5.2042356,4.658085,4.17716,4.3915715
7.5881844,6.550927,7.6520047,5.750647,4.5828953,8.788205,6.8592925,6.0824265,4.603792,3.9721482,4.053339,5.137463,4.2853866,9.059181,5.4835434,5.250605,5.1704597,5.869658,5.9260726,5.579896,3.885167,4.1573253,3.5489578,6.021338,6.686248,4.8723373,3.9719756,4.318882,4.2140837,4.4636374,4.712297,4.147573,5.9409294,5.2250314,4.156333,5.8900266,5.280646,3.2531357,5.2113023,4.859037,5.3310604,6.385978,6.0166163,3.627185,6.6084943,4.6266637,6.1204896,4.8634353,5.8793993,4.7640543,5.9656496,3.6471682,5.670443,3.0517707,6.138396,5.255707,5.088821,5.400128,2.5573215,4.2468915,3.1933088,5.346713,5.1622868,4.521715,4.2372413,4.7816668,5.113727,5.581907,4.6961136,6.1805534,5.960246,2.805877,4.7409263,6.5073028,6.7507734,5.036414,5.185302,6.7401285,4.2433834,3.550607,4.681152,4.9127235,4.1593957,4.363675,5.920007,3.592007,6.6330457,3.4523365,3.9300075,3.5900512,6.06987,4.362747,5.4619074,4.659294,4.5966997,5.02086,5.2824016,4.5984473,4.2530255,4.549549
7.0816917,6.5385056,7.3869233,5.762764,4.602515,8.596779,6.575642,5.8638883,4.500251,4.7530227,4.039602,5.490348,4.4900365,9.231932,5.637178,5.646864,5.169969,5.91138,5.748844,5.797629,3.8643808,4.316205,3.5453036,5.6262054,6.7442646,4.486224,4.106058,4.400449,4.11036,4.8282056,4.662536,4.053095,5.8903275,5.190838,4.186213,5.776615,5.2245255,3.5730004,5.1210923,4.7729325,5.079701,6.1241174,6.198977,3.7189498,6.5769606,4.6065435,6.1150084,4.9024377,5.6908083,5.210269,5.549762,4.0196614,5.7458057,3.208547,5.9617968,5.2082715,5.036018,5.5465775,3.134902,4.3075986,3.3244243,5.5057187,5.347361,4.8656735,4.212384,4.611411,4.9687433,5.515457,4.765366,5.8514466,5.8551183,3.2132854,5.1265893,6.40228,6.433129,4.9797444,5.328128,6.8440943,4.469346,3.733741,5.1810346,5.0744224,4.124409,4.490833,5.638158,3.594084,6.4479437,3.5634682,4.0916896,3.3690486,6.016222,4.6139,5.5698075,4.135704,4.517179,4.8202033,5.2687273,4.7041044,4.3257732,4.452335
7.9065013,5.6439276,7.98707,6.153381,4.6536427,8.855388,6.4629955,4.9900765,4.72305,4.148926,4.118635,4.920041,4.8867927,8.853724,6.1553593,5.5630627,4.763513,5.950885,5.851983,5.8150625,4.0042596,4.190123,3.5185475,5.428588,6.7450075,4.415913,3.9990773,4.343063,4.465981,4.722975,4.6641326,4.1152763,6.2284636,5.3678455,4.1459875,5.900616,5.119762,3.091805,5.213672,4.9884186,5.340865,6.3284965,6.0198617,3.723447,6.724283,4.537175,6.346822,5.0156646,5.8827085,4.654623,6.166039,3.8428075,5.9098105,2.806466,5.9947553,5.0045867,5.1663804,5.652389,2.688753,4.15501,3.4269924,5.3340816,5.1215334,4.5878115,4.7165146,4.8295174,4.8752317,5.546972,4.133801,5.599962,6.138452,3.2651892,5.015303,6.330673,6.4385614,4.986098,4.960576,6.71075,5.3834047,4.033362,4.9016805,4.7612348,4.089845,4.28534,5.797856,3.5860999,6.9667068,4.106053,3.919029,3.2799911,5.8305364,4.578903,5.5933466,4.7989154,4.792577,4.838073,5.2021427,4.752772,4.2157426,4.340093
6.899191,6.569113,7.4725013,5.912914,4.742419,8.536466,6.527951,5.9669547,4.6425853,4.830212,4.0835056,5.420703,4.2788844,9.214072,5.671314,5.593976,5.252377,5.726086,5.6807218,5.633756,3.8917747,4.382834,3.6513424,5.5964446,6.7681794,4.5504456,4.084627,4.352653,4.187843,4.8815866,4.806631,4.089705,5.973038,5.177841,4.271266,5.808533,5.244976,3.6331773,5.240723,4.8093715,5.0905466,6.10471,6.1828556,3.745711,6.558113,4.5212545,6.0090094,4.8521166,5.7427235,5.1963897,5.558168,4.0696383,5.7331047,3.2859719,5.9173217,5.227085,5.1151123,5.4226665,3.100378,4.251652,3.3485107,5.5174994,5.38801,4.7734575,4.2566814,4.6056004,5.0684824,5.5254893,4.7890515,5.979614,5.7927427,3.1168492,5.0837297,6.4740596,6.4113483,5.001096,5.4494743,6.7129416,4.218668,3.7136226,5.1064034,5.1103396,4.234978,4.4995484,5.6168656,3.6769762,6.366093,3.4509346,4.036051,3.4022405,5.9891043,4.557718,5.50273,4.1756315,4.483274,4.8769097,5.2527585,4.767445,4.364528,4.518799
8.074497,5.7558227,8.050807,6.0139065,4.645861,8.848309,6.5094004,5.2612996,4.678492,3.884827,4.090593,4.9160547,4.715515,8.9275255,5.9481263,5.3886952,4.8039465,5.9605017,5.940603,5.746323,3.990227,4.104683,3.473364,5.5583124,6.7182407,4.6200795,4.0023084,4.314052,4.4358635,4.5258374,4.69247,4.151081,6.173644,5.3765483,4.0975804,5.9510984,5.138879,3.0045989,5.2408223,4.99218,5.4172907,6.438025,5.9507246,3.6691444,6.71984,4.581601,6.3477006,4.9746685,5.902702,4.5478916,6.2739477,3.6677492,5.853159,2.7739747,6.0810127,5.05317,5.1433063,5.616079,2.469414,4.2339687,3.3440309,5.295808,5.0464997,4.442869,4.6282353,4.8374815,4.938903,5.5714417,4.2016006,5.809365,6.126262,3.0175614,4.8661246,6.3794684,6.6060147,5.008045,4.968538,6.6965556,5.0923967,3.9081087,4.710006,4.7129107,4.107332,4.2787642,5.884386,3.5831318,6.990829,3.9505827,3.877778,3.3790455,5.877909,4.4980907,5.616566,4.9585686,4.773987,4.885272,5.196255,4.686596,4.2047663,4.3814435
7.7508087,5.7648034,7.752381,6.15514,4.5294566,8.812854,6.479025,5.4411216,4.6410565,4.059136,4.0751734,4.9426584,4.4926004,9.023742,5.941992,5.500421,4.930642,5.795567,5.741111,5.7057776,3.9456398,4.2383647,3.5823429,5.6262717,6.7982454,4.61087,3.864554,4.317729,4.383338,4.6674566,4.701825,4.1529117,6.136462,5.246628,4.207993,5.91364,5.228761,3.2218533,5.340466,4.912187,5.344984,6.298354,6.022577,3.7292907,6.71141,4.472341,6.2675323,5.058793,5.9239097,4.6736326,6.1008406,3.75493,5.81253,2.9322498,5.933833,5.131992,5.198122,5.4519176,2.7012432,4.058726,3.2644386,5.3943152,5.2364364,4.5044737,4.5665174,4.823764,5.033685,5.572235,4.31102,5.9618487,6.081949,3.0566669,4.8709106,6.4685774,6.5698113,5.1024203,5.12998,6.7429724,4.809907,3.7751806,4.8715405,4.9134955,4.12988,4.2936554,5.838809,3.593848,6.854165,3.7076828,3.8701756,3.337102,5.831619,4.4644547,5.54789,4.6870403,4.7053204,4.985337,5.2243977,4.564619,4.1280518,4.440464
7.873562,6.1584196,7.699372,5.7480693,4.4381375,8.849673,6.72876,5.787096,4.4503517,3.815781,4.0242515,5.0735307,4.4103527,9.16582,5.758925,5.35005,4.9527397,5.943888,5.8501062,5.780355,3.8815713,4.1677117,3.5728683,5.8888154,6.820364,4.7359314,3.9371574,4.339544,4.273795,4.474369,4.6936283,4.1850314,5.936342,5.2178187,4.1623344,5.980943,5.296495,3.2328792,5.2618046,4.880207,5.3084254,6.407337,6.01913,3.5405626,6.7217307,4.574749,6.3360996,4.9756436,5.8717484,4.6263723,6.061921,3.58783,5.82356,2.9327042,6.0211835,5.115071,5.1160583,5.4779787,2.508748,4.1492605,3.1716383,5.399397,5.2103667,4.477698,4.3128924,4.755857,5.0635595,5.6292524,4.47742,6.1020947,6.0125628,2.7633872,4.8113,6.4446025,6.721761,5.11911,5.169249,6.8690166,4.532433,3.591887,4.7888722,4.929006,4.1100373,4.3593216,5.9483657,3.4282298,6.826491,3.540755,3.8469253,3.3401191,5.9430666,4.4167686,5.613219,4.70834,4.6891084,5.011979,5.271905,4.4767065,4.05402,4.3493576
7.3823957,5.912061,7.2839317,6.0209723,4.365198,8.696383,6.396532,5.506268,4.513784,4.755072,3.9941857,5.3192563,4.6988783,9.273002,5.9151816,5.7112556,4.9585276,5.951647,5.7231164,5.909511,3.8078792,4.210803,3.524298,5.5134296,6.8763924,4.4051156,3.8857675,4.3723083,4.241403,4.8912764,4.5736914,4.156669,5.9703603,5.186165,4.173554,5.847849,5.2328773,3.5139644,5.185536,4.8171616,5.152425,6.1039224,6.1827097,3.6890726,6.6712694,4.542899,6.295174,5.0569725,5.77169,5.077182,5.7048936,4.02172,5.8876195,2.986789,5.8931246,5.1105256,5.060098,5.609627,2.992702,4.1716485,3.2703993,5.5272164,5.3453856,4.8049126,4.370841,4.6567717,4.918827,5.557361,4.495332,5.7381487,6.009626,3.2564795,5.0969057,6.4474297,6.489863,5.0425506,5.2894115,6.957363,4.8818283,3.7495914,5.193511,5.0359554,4.0825686,4.4043756,5.683835,3.4952507,6.6846576,3.6684697,4.043908,3.183725,5.8903,4.6445417,5.684973,4.257489,4.6581864,4.9027133,5.237941,4.5919933,4.138846,4.301157
