UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50
7.263558,6.736248,6.1396437,6.1704817,5.457385,7.363186,10.092922,5.776412,7.2787647,6.6498346,3.8973925,4.822182,5.032939,2.9302528,4.366598,5.349129,5.1301336,5.243048,3.2499309,4.1018186,4.6021576,6.270927,3.792467,5.3033257,4.5774207,6.4369397,4.221589,4.649435,3.7583883,6.236588,4.7092447,3.7135806,4.3778987,4.8697453,4.3971176,5.8331017,4.787414,6.6854625,3.4160178,3.7535298,6.3136644,6.4152765,6.457787,6.0244217,6.2048545,6.5010343,4.7262187,4.103518,5.3429484,4.706321
6.975301,6.47774,6.38502,6.0360193,5.426621,6.956662,10.121777,5.630329,7.5701823,6.554145,3.7512045,4.803159,5.200941,2.975121,4.224393,5.325986,4.7723694,5.3950872,3.157743,4.071317,4.7213635,6.308552,3.9181874,5.312261,4.6736894,6.418506,4.3149447,4.5760007,3.9065986,6.1607566,4.656216,3.559059,4.2365775,4.962944,4.148521,5.976537,4.6192594,6.5284886,3.2942052,3.6840465,6.622501,6.2596483,6.5457206,5.8489127,6.3919315,6.3098154,4.8087544,3.9025147,5.4132147,4.7975297
8.293571,7.293709,6.0293694,5.292994,6.0597034,6.432491,10.752649,5.61521,7.3703523,6.0990777,4.0045753,5.337219,5.176681,2.5700374,4.4442253,5.510679,4.9240775,5.313174,3.6866763,4.188866,4.4904933,6.13555,3.86624,5.359705,4.837087,6.878228,4.5196505,5.057351,4.322404,5.967814,4.728852,3.6935995,4.085475,5.44302,4.121977,5.6968584,4.60283,6.736548,3.151155,4.007025,6.040215,6.507935,6.3595686,5.5058665,6.425573,6.630391,5.5794077,3.924126,5.858067,5.2165895
7.4635854,7.2485538,5.997962,5.9121256,5.650652,7.092372,9.959561,5.541935,7.276297,6.1742935,3.8838806,4.955766,5.218781,2.7885892,4.5508637,5.5125003,4.9357824,5.302565,3.7577353,4.2608004,4.526226,6.2054706,4.045851,5.437211,4.8601985,6.4792686,4.19767,4.774669,4.033631,5.895176,4.8109875,3.465919,4.144751,5.062274,4.461011,5.7369647,4.728562,6.6067557,3.3133042,3.8776746,5.9444323,6.4518476,6.3406954,5.8187933,6.1478834,6.398675,5.2360096,3.8123064,5.427386,4.934986
7.4094777,5.9642444,6.690475,5.419138,5.4631305,6.5142136,10.710812,6.1706605,7.812518,7.073739,3.7104423,5.1585007,4.895598,2.677885,4.269873,5.206269,4.863084,5.0821633,2.5289965,4.0538583,4.948391,6.072915,3.3243513,5.442427,4.8177357,6.652075,4.891555,4.778424,4.4340034,6.0158386,4.8171797,3.5839455,3.9158852,5.463898,3.9333007,6.016748,4.4493923,6.5626955,2.9173546,3.4119296,6.6423306,6.4909186,6.363541,5.6475916,6.5954266,6.5744066,4.6544847,4.2910175,5.7115397,4.8055067
7.5540457,7.25698,5.9329963,6.0295067,5.637385,7.157604,9.9180765,5.616355,7.276438,6.222223,4.0573177,4.9619684,5.236305,2.6992285,4.521945,5.4732156,5.0432653,5.2815175,3.7653866,4.2231364,4.3132863,6.2069955,4.030331,5.254267,4.811609,6.4965405,4.078914,4.699202,3.9009562,6.0545473,4.6958075,3.6354196,4.300848,4.9736867,4.511677,5.7494984,4.8487372,6.6457186,3.4378123,4.0245595,5.886428,6.3643556,6.4823313,5.76797,6.2608333,6.393228,5.200898,3.910831,5.5346556,5.011091
7.845855,6.1906905,6.694326,5.2245173,5.6777215,6.2189703,10.955893,6.1877084,7.7582912,6.9036098,3.823879,5.325477,4.9036603,2.5509653,4.2316055,5.223363,4.850943,5.083449,2.688562,4.0633802,4.8324895,6.0403347,3.3093023,5.3961654,4.82354,6.8093596,4.97312,4.8970785,4.550994,6.0288377,4.767831,3.7144287,3.9149504,5.60787,3.8095179,5.9720306,4.43072,6.626841,2.8647752,3.5620468,6.569979,6.503133,6.395832,5.5079794,6.7023687,6.6970572,4.842012,4.3626466,5.917564,4.974586
7.6683497,6.442425,6.438167,5.421187,5.7081146,6.373199,10.8174305,5.871896,7.7933855,6.66598,3.8570337,5.203249,5.093705,2.7430794,4.251294,5.338705,4.771254,5.3076024,2.9775934,3.9733634,4.690843,6.1281724,3.6413412,5.2068195,4.8232756,6.85207,4.7147393,4.879047,4.16042,6.1667314,4.628752,3.7071528,4.0406537,5.409479,3.925465,5.916055,4.468183,6.5913596,3.095743,3.7246356,6.633169,6.3241925,6.498039,5.4478827,6.689315,6.4871674,5.1311326,4.04418,5.8385553,5.02847
8.137437,6.9251447,6.2308145,5.2033343,6.0235987,6.4334393,11.112279,5.642051,7.441616,6.3748693,3.7794495,5.321347,4.992768,2.874791,4.35121,5.4936266,4.900576,5.366702,3.2614253,4.0029106,4.844589,6.1477995,3.7258484,5.3880534,4.713381,7.0219336,4.7865305,5.1798005,4.197825,6.1133265,4.7307816,3.7255507,4.0187387,5.5079374,3.9288454,5.696751,4.3857393,6.7515974,3.0578961,3.7629786,6.527479,6.5571065,6.2673016,5.59352,6.4088454,6.7144623,5.41607,3.9514973,5.7286677,4.9711986
7.288556,6.6879473,6.2054677,5.7607813,5.6640954,6.973294,10.305677,5.678719,7.474016,6.4820695,3.6442533,4.8842587,5.186235,2.922039,4.2042165,5.3368783,4.6982694,5.4178085,3.3407056,4.1958113,4.8434305,6.3291125,3.8057113,5.5752716,4.6293826,6.4047112,4.3971987,4.746525,4.112685,5.959384,4.8600707,3.40499,4.1662555,5.0740623,4.113256,5.957698,4.592067,6.6421695,3.198469,3.6095643,6.447275,6.4361386,6.314044,5.896683,6.233804,6.3655214,4.9739914,3.8181865,5.3367968,4.861693
8.049847,7.096226,6.0700526,5.426893,5.8802934,6.6488385,10.539211,5.764474,7.395515,6.3225355,3.9705963,5.2518573,5.1050806,2.572218,4.480498,5.456894,4.9855256,5.198432,3.5302684,4.219912,4.532045,6.113604,3.7603035,5.4193845,4.8528466,6.740169,4.4887905,4.965354,4.341905,5.9183273,4.7984376,3.6273844,4.0583396,5.3827634,4.2207217,5.7394176,4.6515927,6.699621,3.1375186,3.8867853,5.986874,6.5487638,6.3228464,5.6140947,6.3673997,6.625137,5.322572,4.02613,5.761062,5.091051
7.157916,6.7592783,6.156955,6.110114,5.513746,7.1880236,10.032518,5.6035953,7.363037,6.45745,3.8269036,4.7856607,5.1952453,2.9575427,4.272365,5.3580623,4.907648,5.383744,3.385776,4.133974,4.62039,6.34061,3.9550974,5.3406453,4.5932345,6.3800054,4.162064,4.6030774,3.8378177,6.166753,4.689158,3.5994709,4.352053,4.8686295,4.283472,5.9017544,4.7355695,6.6244636,3.3905118,3.7809236,6.4086804,6.3260427,6.503068,5.9602985,6.253338,6.3695316,4.8622913,3.9087937,5.3467884,4.8062625
7.879244,6.3554215,6.648644,5.295414,5.673172,6.239081,10.81685,6.1242146,7.7092123,6.77794,3.9098012,5.3462343,4.937791,2.491875,4.309765,5.264397,4.906084,5.0692225,2.8288667,4.08579,4.7123756,6.0135274,3.4064045,5.3321304,4.88108,6.811642,4.889323,4.872343,4.529494,6.026871,4.729569,3.7457008,3.9333386,5.5866623,3.895159,5.929515,4.482969,6.6126585,2.9163659,3.6750977,6.4228864,6.4762444,6.439696,5.464183,6.7094274,6.6760087,4.9216323,4.3522186,5.9624453,5.0270643
7.670777,6.1540008,6.639301,5.2389145,5.6678176,6.296838,10.941582,6.0859566,7.7863173,6.902489,3.695463,5.239288,4.9395623,2.7003918,4.2065005,5.247768,4.7568436,5.171147,2.694173,4.051181,4.9601436,6.0971828,3.372235,5.4728746,4.7966485,6.770262,4.9573426,4.912659,4.487013,5.995387,4.8103194,3.5978918,3.8894277,5.5611315,3.8004825,5.981723,4.37748,6.604723,2.866807,3.4680986,6.6872973,6.504793,6.3338146,5.5771847,6.612935,6.6305785,4.8674035,4.2161603,5.7781806,4.903312
