UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10
9.087408,2.8242304,14.803038,1.3038865,2.3568633,1.8424922,4.198286,4.418593,1.6571662,5.4956536
9.255761,2.621903,14.748482,1.4917347,2.0579689,1.5458989,4.245075,4.045485,1.2320591,5.1469164
7.629647,1.7649027,14.521045,1.1459543,1.7581218,1.3327447,3.0123582,4.438047,1.8685666,4.904218
8.193274,2.5861647,14.640015,1.1535869,2.2791467,1.8449073,3.2606897,4.3972044,1.8735514,5.4711447
9.309684,2.156865,14.92145,2.0836608,1.5775169,1.2706157,3.9527068,3.7168233,1.1332027,4.481588
8.271791,2.714909,14.389533,1.0645595,2.2647178,2.1018255,3.395341,4.6310167,1.7076379,5.740203
8.9992895,1.7612484,14.863028,1.8970783,1.6001076,0.9583294,3.7932756,3.6992872,1.5069302,4.243942
9.165604,1.8972758,14.834013,1.4264864,1.6054509,1.2707665,3.9645905,4.045118,1.1574922,4.469289
8.345064,1.645164,14.635152,1.2490855,1.794117,1.5089124,3.0223668,4.3625007,2.0567284,4.679961
9.002929,2.5730395,14.833654,1.5993271,2.2300427,1.4494781,4.348289,4.1926327,1.8302741,5.2990327
7.7807193,1.9540039,14.515056,1.1938721,1.8548521,1.46243,3.056587,4.4117436,1.8677874,5.030107
8.965874,2.9537063,14.923173,1.2335832,2.4486392,1.9101995,4.1265593,4.4758615,1.6831492,5.6214504
9.016659,1.8895997,14.823881,1.7662456,1.6083761,1.025491,3.791048,3.7172563,1.242639,4.306138
9.23141,1.8838086,14.915694,1.9679369,1.7405784,1.5734936,3.2007208,3.7265513,1.6736009,4.362817
9.042246,3.065114,14.795731,1.2348331,2.4983327,1.861127,4.033997,4.219755,1.5885806,5.6806927
9.423728,2.838047,15.204922,1.6561661,2.2093441,1.4663702,4.2922025,3.8816311,1.4485382,5.124576
9.709034,2.4873636,15.133392,1.4756527,2.1162663,1.4091399,4.1494412,3.5919917,1.3228452,4.797365
9.284728,2.729645,14.944478,1.6110206,2.1524334,1.599599,4.389423,4.150134,1.3955927,5.193044
8.38763,2.6730494,14.457556,1.5679464,2.1099868,1.869122,3.6824327,4.598022,1.7902303,5.610348
8.526691,2.7645912,14.5217495,0.982837,2.2738004,1.855717,3.735105,4.4436245,1.4311271,5.6241765
8.430148,2.3690338,14.709505,1.6311383,2.0390322,1.6363468,3.5691807,4.470596,2.0510032,5.2427545
9.162971,1.6789405,14.852462,1.7231104,1.5706266,1.0848072,3.665767,3.7030435,1.4219524,4.163048
8.956317,2.0907218,14.737658,1.6652141,1.9557624,1.1359258,4.269037,4.0989385,1.8525008,4.8216577
8.8938875,1.3905405,14.760674,1.6675466,1.4324118,0.9766215,3.7274418,3.9305556,1.6550301,4.1761208
9.557701,2.0482793,14.817159,1.8980863,1.727287,1.3563412,3.8541138,3.6580122,1.4294342,4.456403
8.644677,1.9255806,14.660294,1.4185605,1.6228982,1.2684453,3.946827,4.3387017,1.2995344,4.7317147
9.06901,3.4304607,13.388462,0.5427578,2.8159983,2.9490395,2.356143,3.9561646,1.3422127,6.605146
8.58225,2.2752845,15.108415,1.4439514,2.1375778,1.2126256,3.8873158,4.211864,1.9847593,4.8702803
8.906065,1.6865036,14.636918,1.5351609,1.5110571,1.3837476,3.8103373,4.3028364,1.6176587,4.622547
9.170466,1.8391193,14.975126,1.8235372,1.4983845,1.2578964,4.0371475,4.0494337,1.2524321,4.3611465
8.734623,2.4200683,14.87725,1.9192116,1.9315556,1.3427755,4.0836134,4.269757,1.8221526,5.0728793
8.724984,1.9631257,14.546653,1.2228551,1.7456807,1.452933,3.6683884,4.2626743,1.2916824,4.8031564
9.006628,3.3795273,13.668556,0.6623917,2.755426,2.6742303,2.7458909,3.9909732,1.2853708,6.400116
9.031974,3.4362493,13.417771,0.49011803,2.8687646,3.0090995,2.2838004,4.005998,1.375986,6.5616593
